"emoji","codepoints","name","img_url","detail_url","kind","description","image_path"
"🙂","U+1F642","呵呵","https://www.emojiall.com/images/60/baidu/1f642.png","https://www.emojiall.com/en/emoji/%F0%9F%99%82","mapped","slightly smiling face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f642-newpng.png"
"😃","U+1F603","哈哈","https://www.emojiall.com/images/60/baidu/1f603.png","https://www.emojiall.com/en/emoji/%F0%9F%98%83","mapped","grinning face with big eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f603png.png"
"😋","U+1F60B","吐舌","https://www.emojiall.com/images/60/baidu/1f60b.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8B","mapped","face savoring food","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f60bpng.png"
"😦","U+1F626","啊","https://www.emojiall.com/images/60/baidu/1f626.png","https://www.emojiall.com/en/emoji/%F0%9F%98%A6","mapped","frowning face with open mouth","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f626-newpng.png"
"😎","U+1F60E","酷","https://www.emojiall.com/images/60/baidu/1f60e.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8E","mapped","smiling face with sunglasses","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f60epng.png"
"😡","U+1F621","怒","https://www.emojiall.com/images/60/baidu/1f621.png","https://www.emojiall.com/en/emoji/%F0%9F%98%A1","mapped","enraged face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f621png.png"
"☺","U+263A","开心","https://www.emojiall.com/images/60/baidu/263a.png","https://www.emojiall.com/en/emoji/%E2%98%BA","mapped","smiling face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\263apng.png"
"😓","U+1F613","汗","https://www.emojiall.com/images/60/baidu/1f613.png","https://www.emojiall.com/en/emoji/%F0%9F%98%93","mapped","downcast face with sweat","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f613png.png"
"😭","U+1F62D","泪","https://www.emojiall.com/images/60/baidu/1f62d.png","https://www.emojiall.com/en/emoji/%F0%9F%98%AD","mapped","loudly crying face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f62dpng.png"
"😅","U+1F605","黑线","https://www.emojiall.com/images/60/baidu/1f605.png","https://www.emojiall.com/en/emoji/%F0%9F%98%85","mapped","grinning face with sweat","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f605png.png"
"😒","U+1F612","鄙视","https://www.emojiall.com/images/60/baidu/1f612.png","https://www.emojiall.com/en/emoji/%F0%9F%98%92","mapped","unamused face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f612png.png"
"☹","U+2639","不高兴","https://www.emojiall.com/images/60/baidu/2639.png","https://www.emojiall.com/en/emoji/%E2%98%B9","mapped","frowning face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\2639png.png"
"👍","U+1F44D","真棒","https://www.emojiall.com/images/60/baidu/1f44d.png","https://www.emojiall.com/en/emoji/%F0%9F%91%8D","mapped","thumbs up","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f44d-newpng.png"
"🤑","U+1F911","钱","https://www.emojiall.com/images/60/baidu/1f911.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%91","mapped","money-mouth face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f911png.png"
"🤨","U+1F928","疑问","https://www.emojiall.com/images/60/baidu/1f928.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%A8","mapped","face with raised eyebrow","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f928-newpng.png"
"😈","U+1F608","阴险","https://www.emojiall.com/images/60/baidu/1f608.png","https://www.emojiall.com/en/emoji/%F0%9F%98%88","mapped","smiling face with horns","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f608png.png"
"🤮","U+1F92E","吐","https://www.emojiall.com/images/60/baidu/1f92e.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%AE","mapped","face vomiting","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f92epng.png"
"😕","U+1F615","咦","https://www.emojiall.com/images/60/baidu/1f615.png","https://www.emojiall.com/en/emoji/%F0%9F%98%95","mapped","confused face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f615png.png"
"🥺","U+1F97A","委屈","https://www.emojiall.com/images/60/baidu/1f97a.png","https://www.emojiall.com/en/emoji/%F0%9F%A5%BA","mapped","pleading face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f97a-newpng.png"
"😍","U+1F60D","花心","https://www.emojiall.com/images/60/baidu/1f60d.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8D","mapped","smiling face with heart-eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f60dpng.png"
"😦","U+1F626","呼~","https://www.emojiall.com/images/60/baidu/1f626-new.png","https://www.emojiall.com/en/emoji/%F0%9F%98%A6","mapped","frowning face with open mouth","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f626-newpng.png"
"😆","U+1F606","笑眼","https://www.emojiall.com/images/60/baidu/1f606.png","https://www.emojiall.com/en/emoji/%F0%9F%98%86","mapped","grinning squinting face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f606png.png"
"😐","U+1F610","冷","https://www.emojiall.com/images/60/baidu/1f610.png","https://www.emojiall.com/en/emoji/%F0%9F%98%90","mapped","neutral face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f610png.png"
"🤣","U+1F923","太开心","https://www.emojiall.com/images/60/baidu/1f923.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%A3","mapped","rolling on the floor laughing","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f923png.png"
"😏","U+1F60F","滑稽","https://www.emojiall.com/images/60/baidu/1f60f.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8F","mapped","smirking face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f60f-newpng.png"
"😉","U+1F609","勉强","https://www.emojiall.com/images/60/baidu/1f609.png","https://www.emojiall.com/en/emoji/%F0%9F%98%89","mapped","winking face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f609png.png"
"😰","U+1F630","狂汗","https://www.emojiall.com/images/60/baidu/1f630.png","https://www.emojiall.com/en/emoji/%F0%9F%98%B0","mapped","anxious face with sweat","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f630png.png"
"😳","U+1F633","乖","https://www.emojiall.com/images/60/baidu/1f633.png","https://www.emojiall.com/en/emoji/%F0%9F%98%B3","mapped","flushed face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f633png.png"
"😴","U+1F634","睡觉","https://www.emojiall.com/images/60/baidu/1f634.png","https://www.emojiall.com/en/emoji/%F0%9F%98%B4","mapped","sleeping face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f634png.png"
"😱","U+1F631","惊哭","https://www.emojiall.com/images/60/baidu/1f631.png","https://www.emojiall.com/en/emoji/%F0%9F%98%B1","mapped","face screaming in fear","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f631png.png"
"😤","U+1F624","生气","https://www.emojiall.com/images/60/baidu/1f624.png","https://www.emojiall.com/en/emoji/%F0%9F%98%A4","mapped","face with steam from nose","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\baidu\1f624png.png"
