"bvid","rpid","emoji_alt","emoji_name","message","sentence","emote_url","mid","uname","ctime_iso"
"BV13X4y1P7z7","173827562464","[星星眼]","星星眼","我们老师在上历史课的时候，专门把这个视频放出来了[脸红]然后一个一个的民族详细讲解[星星眼][星星眼][星星眼]","我们老师在上历史课的时候，专门把这个视频放出来了[脸红]然后一个一个的民族详细讲解[星星眼][星星眼][星星眼]","https://i0.hdslb.com/bfs/emote/63c9d1a31c0da745b61cdb35e0ecb28635675db2.png","3461567173626616","che救驾来迟","2023-07-08T05:28:18+00:00"
"BV13X4y1P7z7","159712710032","[大哭]","大哭","我理想中的那种可以走出国门  站在世界舞台上的国漫就是视频的这个样子！不同于日漫画风，不是模仿迪士尼的3D，是富有中国特色的别具一格独出心裁的配色.人物线条.还有来自东方的神秘的民族文化...[大哭]","我理想中的那种可以走出国门  站在世界舞台上的国漫就是视频的这个样子！不同于日漫画风，不是模仿迪士尼的3D，是富有中国特色的别具一格独出心裁的配色.人物线条.还有来自东方的神秘的民族文化...[大哭]","https://i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png","438516812","流泪鼻涕虫","2023-04-07T11:19:01+00:00"
"BV13X4y1P7z7","157620487424","[星星眼]","星星眼","[星星眼]","[星星眼]","https://i0.hdslb.com/bfs/emote/63c9d1a31c0da745b61cdb35e0ecb28635675db2.png","437054517","Iukoi零榆","2023-03-24T06:25:55+00:00"
"BV13X4y1P7z7","121785303680","[妙啊]","妙啊","中华民族的来报道了[妙啊][妙啊]","中华民族的来报道了[妙啊][妙啊]","https://i0.hdslb.com/bfs/emote/b4cb77159d58614a9b787b91b1cd22a81f383535.png","509701778","祭云泊","2022-07-21T02:10:33+00:00"
"BV13X4y1P7z7","121731325904","[大哭]","大哭","太棒了，眼泪水自己掉了下来[大哭]","太棒了，眼泪水自己掉了下来[大哭]","https://i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png","175100056","许舟卫","2022-07-20T13:52:44+00:00"
"BV13X4y1P7z7","121488916240","[星星眼]","星星眼","美术课上放的。[星星眼][星星眼]","美术课上放的。[星星眼][星星眼]","https://i0.hdslb.com/bfs/emote/63c9d1a31c0da745b61cdb35e0ecb28635675db2.png","499541810","纯天然_豆本豆豆奶","2022-07-19T02:20:51+00:00"
"BV13X4y1P7z7","120645148144","[喜极而泣]","喜极而泣","重新上传过吗我记得之前看到的汉族服饰在后面一点[喜极而泣]不过顺序前后也没关系","重新上传过吗我记得之前看到的汉族服饰在后面一点[喜极而泣]不过顺序前后也没关系","https://i0.hdslb.com/bfs/emote/485a7e0c01c2d70707daae53bee4a9e2e31ef1ed.png","252600663","-_请输入新昵称","2022-07-13T07:16:11+00:00"
"BV13X4y1P7z7","120626126912","[打call]","打call","[打call]","[打call]","https://i0.hdslb.com/bfs/emote/431432c43da3ee5aab5b0e4f8931953e649e9975.png","1672918093","山药粉笔","2022-07-13T04:45:52+00:00"
"BV13X4y1P7z7","4963815347","[支持]","支持","太牛了，不敢相信这是本科毕设[支持]","太牛了，不敢相信这是本科毕设[支持]","https://i0.hdslb.com/bfs/emote/3c210366a5585706c09d4c686a9d942b39feeb50.png","5352710","知行RO","2021-07-22T01:57:38+00:00"
"BV13X4y1P7z7","4963639200","[打call]","打call","做的太棒了啊啊啊[打call][打call][打call]","做的太棒了啊啊啊[打call][打call][打call]","https://i0.hdslb.com/bfs/emote/431432c43da3ee5aab5b0e4f8931953e649e9975.png","286161378","KON_226","2021-07-22T01:22:27+00:00"
