"bvid","rpid","emoji_alt","emoji_name","message","sentence","emote_url","mid","uname","ctime_iso"
"BV1AM4y1M71p","276658776272","[微笑]","微笑","[微笑]","[微笑]","https://i0.hdslb.com/bfs/emote/685612eadc33f6bc233776c6241813385844f182.png","439465309","爱干饭的欧古力","2025-09-20T16:09:47+00:00"
"BV1AM4y1M71p","276649972352","[doge]","doge","58[doge]","58[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","478755017","泉亅此方","2025-09-20T14:39:37+00:00"
"BV1AM4y1M71p","276578583088","[保佑]","保佑","首先，我为我借楼发言向各位道歉，其次请求大家关注下于朦胧的案件，因为存在太多的疑点，而我发现身边还有好多人不知道这件事[保佑][保佑]我们需要舆论与热度，恳请大家了解下，只是希望你们了解下，拜托[保佑]","首先，我为我借楼发言向各位道歉，其次请求大家关注下于朦胧的案件，因为存在太多的疑点，而我发现身边还有好多人不知道这件事[保佑][保佑]我们需要舆论与热度，恳请大家了解下，只是希望你们了解下，拜托[保佑]","https://i0.hdslb.com/bfs/emote/fafe8d3de0dc139ebe995491d2dac458a865fb30.png","8740627","被拉小黑屋中","2025-09-20T01:57:01+00:00"
"BV1AM4y1M71p","275061214369","[抱拳]","抱拳","借楼[抱拳][抱拳][抱拳]
🐟/朦/胧他首先是一个生活在首都的中华人民共和国的合法公民，他的生命财产安全应该得到国家法律的保护，他不应该不明不白莫名其妙地就突然失去生命，他非正常死亡的真相应该对公众有一个交代，还死者一个公道，还公众一个真相","借楼[抱拳][抱拳][抱拳]
🐟/朦/胧他首先是一个生活在首都的中华人民共和国的合法公民，他的生命财产安全应该得到国家法律的保护，他不应该不明不白莫名其妙地就突然失去生命，他非正常死亡的真相应该对公众有一个交代，还死者一个公道，还公众一个真相","https://i0.hdslb.com/bfs/emote/89516218158dbea18ab78e8873060bf95d33bbbe.png","1430272461","织幻师大遥","2025-09-19T02:56:21+00:00"
"BV1AM4y1M71p","263733093536","[笑哭]","笑哭","看的时候突然卡了[笑哭][笑哭]笑死我了","看的时候突然卡了[笑哭][笑哭]笑死我了","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","2031025243","养鬼的G先生","2025-05-25T07:09:18+00:00"
"BV1AM4y1M71p","263693681184","[妙啊]","妙啊","考古[妙啊]","考古[妙啊]","https://i0.hdslb.com/bfs/emote/b4cb77159d58614a9b787b91b1cd22a81f383535.png","566753405","久光light","2025-05-24T18:41:24+00:00"
"BV1AM4y1M71p","263658523808","[喜极而泣]","喜极而泣","Cold&amp;Classical be honest ![喜极而泣][喜极而泣]","Cold&amp;Classical be honest ![喜极而泣][喜极而泣]","https://i0.hdslb.com/bfs/emote/485a7e0c01c2d70707daae53bee4a9e2e31ef1ed.png","2534548","行者改造一切","2025-05-24T11:25:31+00:00"
"BV1AM4y1M71p","263580506688","[微笑]","微笑","这企业级的表情管理[微笑]","这企业级的表情管理[微笑]","https://i0.hdslb.com/bfs/emote/685612eadc33f6bc233776c6241813385844f182.png","3493121534987132","bili_66994910357","2025-05-23T14:23:02+00:00"
"BV1AM4y1M71p","263480411520","[doge]","doge","大梦居千载，今夕是何年[doge]","大梦居千载，今夕是何年[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","651365518","南宫笛琛","2025-05-22T12:21:29+00:00"
"BV1AM4y1M71p","263434706592","[笑哭]","笑哭","只有我觉得主C很像黄磊吗[笑哭]","只有我觉得主C很像黄磊吗[笑哭]","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","3546812023572832","第三号酒馆","2025-05-22T01:48:21+00:00"
"BV1AM4y1M71p","228482146608","[打call]","打call","[打call]","[打call]","https://i0.hdslb.com/bfs/emote/431432c43da3ee5aab5b0e4f8931953e649e9975.png","525643002","鸣日依旧美好","2024-06-27T14:51:15+00:00"
"BV1AM4y1M71p","228389107248","[doge]","doge","关 晓 彤[doge]","关 晓 彤[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","3493105445636220","京都隐身人","2024-06-27T04:34:44+00:00"
"BV1AM4y1M71p","227623882240","[星星眼]","星星眼","翻译君甚至是双语翻译！[星星眼]","翻译君甚至是双语翻译！[星星眼]","https://i0.hdslb.com/bfs/emote/63c9d1a31c0da745b61cdb35e0ecb28635675db2.png","1843831082","玺玖不是酒","2024-06-22T11:57:51+00:00"
