"bvid","rpid","emoji_alt","emoji_name","message","sentence","emote_url","mid","uname","ctime_iso"
"BV1ED4y1Y7dc","282813182224","[大哭]","大哭","掉小珍珠了[大哭]","掉小珍珠了[大哭]","https://i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png","32166043","倾倾倾倾傾","2025-11-18T06:09:41+00:00"
"BV1ED4y1Y7dc","280141920017","[大哭]","大哭","为什么[思考]只能投2个币啊[大哭]","为什么[思考]只能投2个币啊[大哭]","https://i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png","1486866470","爱编程的双子座","2025-11-09T09:37:04+00:00"
"BV1ED4y1Y7dc","280141920017","[思考]","思考","为什么[思考]只能投2个币啊[大哭]","为什么[思考]只能投2个币啊[大哭]","https://i0.hdslb.com/bfs/emote/cfa9b7e89e4bfe04bbcd34ccb1b0df37f4fa905c.png","1486866470","爱编程的双子座","2025-11-09T09:37:04+00:00"
"BV1ED4y1Y7dc","279953211057","[星星眼]","星星眼","[星星眼]","[星星眼]","https://i0.hdslb.com/bfs/emote/63c9d1a31c0da745b61cdb35e0ecb28635675db2.png","595529852","叮咚叮咚一声","2025-11-07T11:48:14+00:00"
"BV1ED4y1Y7dc","281489089744","[打call]","打call","少轩老师，我们村最棒的玩家[打call]","少轩老师，我们村最棒的玩家[打call]","https://i0.hdslb.com/bfs/emote/431432c43da3ee5aab5b0e4f8931953e649e9975.png","26406855","白茶本茶qwq","2025-11-04T16:00:40+00:00"
"BV1ED4y1Y7dc","278996219329","[doge]","doge","中国的野兽先生[星星眼][doge]","中国的野兽先生[星星眼][doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","3546781340142282","刘西蒙车长","2025-10-28T11:09:51+00:00"
"BV1ED4y1Y7dc","278996219329","[星星眼]","星星眼","中国的野兽先生[星星眼][doge]","中国的野兽先生[星星眼][doge]","https://i0.hdslb.com/bfs/emote/63c9d1a31c0da745b61cdb35e0ecb28635675db2.png","3546781340142282","刘西蒙车长","2025-10-28T11:09:51+00:00"
"BV1ED4y1Y7dc","278963461201","[哦呼]","哦呼","真猛啊[哦呼]","真猛啊[哦呼]","https://i0.hdslb.com/bfs/emote/362bded07ea5434886271d23fa25f5d85d8af06c.png","1450936782","码头有啥","2025-10-28T04:18:51+00:00"
"BV1ED4y1Y7dc","280504329024","[大笑]","大笑","请问 有人知道 “一位粉丝想看到自己奔跑的样子”这个视频，06：20，在问粉丝不知道看到奔跑视频后会不会更难过的那片段的bgm是啥呀[大笑]","请问 有人知道 “一位粉丝想看到自己奔跑的样子”这个视频，06：20，在问粉丝不知道看到奔跑视频后会不会更难过的那片段的bgm是啥呀[大笑]","https://i0.hdslb.com/bfs/emote/ca94ad1c7e6dac895eb5b33b7836b634c614d1c0.png","128661414","古巷花猫","2025-10-26T15:36:49+00:00"
"BV1ED4y1Y7dc","278587224801","[大哭]","大哭","[大哭]無限進步","[大哭]無限進步","https://i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png","3546682690111887","十六或許","2025-10-24T12:16:10+00:00"
