"bvid","rpid","emoji_alt","emoji_name","message","sentence","emote_url","mid","uname","ctime_iso"
"BV1bW411n7fY","274997405424","[打call]","打call","2025年来考古[打call]","2025年来考古[打call]","https://i0.hdslb.com/bfs/emote/431432c43da3ee5aab5b0e4f8931953e649e9975.png","162942100","小兽兽丷","2025-09-03T14:26:25+00:00"
"BV1bW411n7fY","273641089361","[doge]","doge","2077年了，还有人吗？[doge]","2077年了，还有人吗？[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","3546719348328675","贝利亚大大亡","2025-09-03T13:56:07+00:00"
"BV1bW411n7fY","274881864432","[大哭]","大哭","雖然現在鬼畜也不少，但是以前的b站更好[大哭]","雖然現在鬼畜也不少，但是以前的b站更好[大哭]","https://i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png","1249457709","She_STAR","2025-09-02T09:07:18+00:00"
"BV1bW411n7fY","271668009729","[doge]","doge","[doge]","[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","1266897962","我是老王qwp","2025-08-17T06:27:54+00:00"
"BV1bW411n7fY","272880538800","[doge]","doge","这个地方应该没人了吧 一个评论回来吃一遍 [doge][doge][doge]","这个地方应该没人了吧 一个评论回来吃一遍 [doge][doge][doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","1816149336","乱跑的繁星赛文","2025-08-16T14:45:47+00:00"
"BV1bW411n7fY","272884220864","[doge]","doge","有的兄弟[doge]","有的兄弟[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","357998412","LeonardVinci","2025-08-16T15:15:51+00:00"
"BV1bW411n7fY","271577017313","[歪嘴]","歪嘴","考古[歪嘴]","考古[歪嘴]","https://i0.hdslb.com/bfs/emote/4384050fbab0586259acdd170b510fe262f08a17.png","1281184365","Sorcerer-Supreme","2025-08-16T11:35:17+00:00"
"BV1bW411n7fY","271562474641","[吃瓜]","吃瓜","房价也是视频这个时间点到高点开始往下走了[吃瓜]","房价也是视频这个时间点到高点开始往下走了[吃瓜]","https://i0.hdslb.com/bfs/emote/4191ce3c44c2b3df8fd97c33f85d3ab15f4f3c84.png","594679","世一导","2025-08-16T09:32:36+00:00"
"BV1bW411n7fY","271547659009","[doge]","doge","[doge]","[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","3546949565287086","就是想看看名字能取多","2025-08-16T07:02:11+00:00"
"BV1bW411n7fY","269142971105","[doge]","doge","考古考古[doge]","考古考古[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","3537104711715470","凌云志__-","2025-07-28T01:29:42+00:00"
