"bvid","rpid","emoji_alt","emoji_name","message","sentence","emote_url","mid","uname","ctime_iso"
"BV1es411D7sW","281172768177","[打call]","打call","[打call]","[打call]","https://i0.hdslb.com/bfs/emote/431432c43da3ee5aab5b0e4f8931953e649e9975.png","457082756","卧底永仁","2025-11-20T18:52:16+00:00"
"BV1es411D7sW","281082996129","[星星眼]","星星眼","啊b站真的人才啊这歌出这呢[星星眼][星星眼]","啊b站真的人才啊这歌出这呢[星星眼][星星眼]","https://i0.hdslb.com/bfs/emote/63c9d1a31c0da745b61cdb35e0ecb28635675db2.png","652585259","逆而战之","2025-11-19T16:04:25+00:00"
"BV1es411D7sW","282175038048","[思考]","思考","十年了啊[思考]","十年了啊[思考]","https://i0.hdslb.com/bfs/emote/cfa9b7e89e4bfe04bbcd34ccb1b0df37f4fa905c.png","3494356092717104","叁零叁号病人","2025-11-11T12:35:35+00:00"
"BV1es411D7sW","280098936209","[打call]","打call","5100w播放量贺喜[打call]","5100w播放量贺喜[打call]","https://i0.hdslb.com/bfs/emote/431432c43da3ee5aab5b0e4f8931953e649e9975.png","1588394259","阿鲁克Lorentz","2025-11-09T01:20:57+00:00"
"BV1es411D7sW","281860396064","[doge]","doge","出个areyouok十周年版[doge]","出个areyouok十周年版[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","145596406","LR小北北","2025-11-08T11:26:27+00:00"
"BV1es411D7sW","280250649393","[doge]","doge","[doge]","[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","2128007774","Steven_CS","2025-11-10T12:38:16+00:00"
"BV1es411D7sW","279653623953","[笑哭]","笑哭","十年了[笑哭]","十年了[笑哭]","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","2079097981","凌谦呀","2025-11-04T02:48:26+00:00"
"BV1es411D7sW","281013719136","[吃瓜]","吃瓜","https://b23.tv/BV1KqyUBtEvR [吃瓜]","https://b23.tv/BV1KqyUBtEvR [吃瓜]","https://i0.hdslb.com/bfs/emote/4191ce3c44c2b3df8fd97c33f85d3ab15f4f3c84.png","490603735","无敌小卡哇_Misaka","2025-10-31T12:43:00+00:00"
"BV1es411D7sW","279198388593","[星星眼]","星星眼","[星星眼]","[星星眼]","https://i0.hdslb.com/bfs/emote/63c9d1a31c0da745b61cdb35e0ecb28635675db2.png","18878490","東山翔","2025-10-30T13:11:28+00:00"
"BV1es411D7sW","280815545632","[笑哭]","笑哭","曾经小米手机设置里能直接把这个设为铃声，用了好久，最近突然发现我们科长铃声换成这个了[笑哭]","曾经小米手机设置里能直接把这个设为铃声，用了好久，最近突然发现我们科长铃声换成这个了[笑哭]","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","27534740","薇鹅莉特・伊芙加登","2025-10-29T14:47:31+00:00"
"BV1es411D7sW","280721674352","[喜极而泣]","喜极而泣","那140w人真的会常听吗[喜极而泣]up主也算有头有脸的制作人了","那140w人真的会常听吗[喜极而泣]up主也算有头有脸的制作人了","https://i0.hdslb.com/bfs/emote/485a7e0c01c2d70707daae53bee4a9e2e31ef1ed.png","487761200","武祀舞肆","2025-10-28T16:49:52+00:00"
"BV1es411D7sW","278725524225","[哦呼]","哦呼","我天十年了[哦呼]","我天十年了[哦呼]","https://i0.hdslb.com/bfs/emote/362bded07ea5434886271d23fa25f5d85d8af06c.png","1574740598","达达鸭的腿环","2025-10-25T16:43:48+00:00"
"BV1es411D7sW","280346030144","[笑哭]","笑哭","屠龙的少年终将成魔吗？有点易死了[笑哭]","屠龙的少年终将成魔吗？有点易死了[笑哭]","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","525388332","嘿嘿了些","2025-10-25T10:50:30+00:00"
"BV1es411D7sW","278669405057","[思考]","思考","我是来考古的，这里应该没有人了吧？那我就，大挖特挖[思考]","我是来考古的，这里应该没有人了吧？那我就，大挖特挖[思考]","https://i0.hdslb.com/bfs/emote/cfa9b7e89e4bfe04bbcd34ccb1b0df37f4fa905c.png","3546957316360269","也许我是一个侦测器","2025-10-25T08:09:33+00:00"
"BV1es411D7sW","280129094512","[笑哭]","笑哭","十年多了[笑哭]","十年多了[笑哭]","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","17302813","如苏如我","2025-10-23T11:11:18+00:00"
"BV1es411D7sW","278446727105","[笑哭]","笑哭","没绷住，小米这两年销量是others，vivo第一华为第二[笑哭]","没绷住，小米这两年销量是others，vivo第一华为第二[笑哭]","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","428242375","铀少爷铀糖","2025-10-23T01:56:26+00:00"
"BV1es411D7sW","278233350193","[思考]","思考","有希望破亿吗[思考]","有希望破亿吗[思考]","https://i0.hdslb.com/bfs/emote/cfa9b7e89e4bfe04bbcd34ccb1b0df37f4fa905c.png","1111553293","永远不得鼻窦炎吆","2025-10-20T12:59:46+00:00"
"BV1es411D7sW","279468031953","[笑哭]","笑哭","回复 @37753666 :不对，要是当时小米有现在这种法务绝对会起诉的[笑哭]","回复 @37753666 :不对，要是当时小米有现在这种法务绝对会起诉的[笑哭]","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","3493080967678589","-----_____-_","2025-11-02T04:37:11+00:00"
"BV1es411D7sW","279951233312","[吃瓜]","吃瓜","因为小米火了（等离子态）[吃瓜]","因为小米火了（等离子态）[吃瓜]","https://i0.hdslb.com/bfs/emote/4191ce3c44c2b3df8fd97c33f85d3ab15f4f3c84.png","2076618809","哈基林林林","2025-10-21T14:07:35+00:00"
"BV1es411D7sW","279622530896","[doge]","doge","来考古了[doge]","来考古了[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","690832427","AAA律师成步堂","2025-10-18T12:00:29+00:00"
"BV1es411D7sW","277984218113","[灵魂出窍]","灵魂出窍","Find, 已经成灰[灵魂出窍]","Find, 已经成灰[灵魂出窍]","https://i0.hdslb.com/bfs/emote/43d3db7d97343c01b47e22cfabeca84b4251f35a.png","294931486","又是成长快乐的一天","2025-10-18T04:59:32+00:00"
"BV1es411D7sW","277864923089","[doge]","doge","@魇胜丶 又怕雷总破产，又怕雷总开路虎[doge]","@魇胜丶 又怕雷总破产，又怕雷总开路虎[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","1864754065","有些人急了_哈哈","2025-10-17T01:23:41+00:00"
"BV1es411D7sW","277909463489","[doge]","doge","[doge][妙啊][嗑瓜子]","[doge][妙啊][嗑瓜子]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","593175457","AZ风宇极客","2025-10-17T10:40:26+00:00"
"BV1es411D7sW","277909463489","[妙啊]","妙啊","[doge][妙啊][嗑瓜子]","[doge][妙啊][嗑瓜子]","https://i0.hdslb.com/bfs/emote/b4cb77159d58614a9b787b91b1cd22a81f383535.png","593175457","AZ风宇极客","2025-10-17T10:40:26+00:00"
"BV1es411D7sW","279374773552","[doge]","doge","考古[doge]","考古[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","18573709","QetoX999","2025-10-16T06:35:17+00:00"
