"bvid","rpid","emoji_alt","emoji_name","message","sentence","emote_url","mid","uname","ctime_iso"
"BV1mK411V7wY","246567772193","[大哭]","大哭","你就是传奇[大哭]","你就是传奇[大哭]","https://i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png","631441391","但想明月清风","2024-11-11T14:50:05+00:00"
"BV1mK411V7wY","248574769104","[笑哭]","笑哭","以前有版权[笑哭]","以前有版权[笑哭]","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","392097720","孤独的我鱼鱼","2024-12-01T13:45:07+00:00"
"BV1mK411V7wY","246417505585","[doge]","doge","龙叔在家具厂宛如圣人坐镇小天地[doge]","龙叔在家具厂宛如圣人坐镇小天地[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","361826998","入更","2024-11-09T16:52:31+00:00"
"BV1mK411V7wY","245518793328","[呲牙]","呲牙","@成龙大哥流芳千古 @港生剪辑 @成天迷龙 @国际成学研究会 @海阔天空EM9Y 感觉不如李小龙大哥的动作比成龙的动作难1000倍成了动作非常的简单，普通人做一下就可以做好。而理想的动作普通人做到32所以就已经要嘎了[呲牙][支持][支持][支持][呲牙][呲牙]","@成龙大哥流芳千古 @港生剪辑 @成天迷龙 @国际成学研究会 @海阔天空EM9Y 感觉不如李小龙大哥的动作比成龙的动作难1000倍成了动作非常的简单，普通人做一下就可以做好。而理想的动作普通人做到32所以就已经要嘎了[呲牙][支持][支持][支持][呲牙][呲牙]","https://i0.hdslb.com/bfs/emote/b5a5898491944a4268360f2e7a84623149672eb6.png","1250137006","清醒的人在糊涂的活着","2024-10-26T08:52:52+00:00"
"BV1mK411V7wY","245518793328","[支持]","支持","@成龙大哥流芳千古 @港生剪辑 @成天迷龙 @国际成学研究会 @海阔天空EM9Y 感觉不如李小龙大哥的动作比成龙的动作难1000倍成了动作非常的简单，普通人做一下就可以做好。而理想的动作普通人做到32所以就已经要嘎了[呲牙][支持][支持][支持][呲牙][呲牙]","@成龙大哥流芳千古 @港生剪辑 @成天迷龙 @国际成学研究会 @海阔天空EM9Y 感觉不如李小龙大哥的动作比成龙的动作难1000倍成了动作非常的简单，普通人做一下就可以做好。而理想的动作普通人做到32所以就已经要嘎了[呲牙][支持][支持][支持][呲牙][呲牙]","https://i0.hdslb.com/bfs/emote/3c210366a5585706c09d4c686a9d942b39feeb50.png","1250137006","清醒的人在糊涂的活着","2024-10-26T08:52:52+00:00"
"BV1mK411V7wY","135074325456","[大哭]","大哭","就不能再出一部龙叔的动漫吗？比如动漫版的警察故事[大哭]，龙叔打不动了，可以出动漫啊，好想看。不知道能不能行[大哭]","就不能再出一部龙叔的动漫吗？比如动漫版的警察故事[大哭]，龙叔打不动了，可以出动漫啊，好想看。不知道能不能行[大哭]","https://i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png","88488879","伽利略的铁锤","2022-10-26T11:26:52+00:00"
"BV1mK411V7wY","135707777792","[思考]","思考","感觉可以安排唉[思考]","感觉可以安排唉[思考]","https://i0.hdslb.com/bfs/emote/cfa9b7e89e4bfe04bbcd34ccb1b0df37f4fa905c.png","86728498","冬瓜豆腐麻婆豆腐","2022-10-31T10:25:06+00:00"
"BV1mK411V7wY","134977966304","[大哭]","大哭","龙老了[大哭]","龙老了[大哭]","https://i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png","697927213","玉清岚","2022-10-25T14:38:40+00:00"
"BV1mK411V7wY","134668252368","[无语]","无语","回复 @空调-_- :尔等都是一介平民，能说的大概也只有内行的[无语]","回复 @空调-_- :尔等都是一介平民，能说的大概也只有内行的[无语]","https://i0.hdslb.com/bfs/emote/44667b7d9349957e903b1b62cb91fb9b13720f04.png","393595615","流星撞击地球","2022-10-23T06:13:07+00:00"
"BV1mK411V7wY","134236360160","[捂眼]","捂眼","小时候跟我爸一起看醉拳，我爸说成龙真的会功夫[捂眼]","小时候跟我爸一起看醉拳，我爸说成龙真的会功夫[捂眼]","https://i0.hdslb.com/bfs/emote/c5c6d6982e1e53e478daae554b239f2b227b172b.png","1113511960","C-小呆雙","2022-10-19T16:14:48+00:00"
"BV1mK411V7wY","3566898782","[OK]","OK","奥斯卡终身成就奖[OK]","奥斯卡终身成就奖[OK]","https://i0.hdslb.com/bfs/emote/4683fd9ffc925fa6423110979d7dcac5eda297f4.png","299224120","泪落青衫隐于心","2020-10-05T11:48:30+00:00"
"BV1mK411V7wY","3565525218","[doge]","doge","那边有楼梯！
龙叔:太好了[doge]","那边有楼梯！
龙叔:太好了[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","95718611","CC风峰","2020-10-05T05:26:05+00:00"
"BV1mK411V7wY","3564614217","[大哭]","大哭","我有时候想过希望龙叔年轻二十岁，不够后来一想，即便年轻二十岁也是五十[大哭]也不年轻了","我有时候想过希望龙叔年轻二十岁，不够后来一想，即便年轻二十岁也是五十[大哭]也不年轻了","https://i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png","179179012","雷诺的游骑","2020-10-05T01:07:52+00:00"
"BV1mK411V7wY","3561083880","[支持]","支持","一灯大师[支持]","一灯大师[支持]","https://i0.hdslb.com/bfs/emote/3c210366a5585706c09d4c686a9d942b39feeb50.png","20614707","知拙藏锋","2020-10-04T04:32:25+00:00"
"BV1mK411V7wY","3560830985","[爱心]","爱心","讲真的，龙叔这一辈子真的不易呀[爱心]","讲真的，龙叔这一辈子真的不易呀[爱心]","https://i0.hdslb.com/bfs/emote/ed04066ea7124106d17ffcaf75600700e5442f5c.png","519084825","虾饺爱下棋","2020-10-04T03:26:09+00:00"
"BV1mK411V7wY","3560483544","[加油]","加油","热血无赖醉拳服装看来就是致敬龙叔了，但是想想也只能致敬龙叔[加油]","热血无赖醉拳服装看来就是致敬龙叔了，但是想想也只能致敬龙叔[加油]","https://i0.hdslb.com/bfs/emote/c7aaeacb21e107292d3bb053e5abde4a4459ed30.png","284067097","CatBro139","2020-10-04T01:46:30+00:00"
