"bvid","rpid","emoji_alt","emoji_name","message","sentence","emote_url","mid","uname","ctime_iso"
"BV1yt4y1Q7SS","276583507457","[笑哭]","笑哭","剪的真好啊[笑哭]","剪的真好啊[笑哭]","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","1377307892","夜态冰","2025-10-04T12:50:27+00:00"
"BV1yt4y1Q7SS","276573448721","[哦呼]","哦呼","又点时间倒序[脸红][哦呼]","又点时间倒序[脸红][哦呼]","https://i0.hdslb.com/bfs/emote/362bded07ea5434886271d23fa25f5d85d8af06c.png","3493281623181583","卡皮巴拉巴克","2025-10-04T11:22:43+00:00"
"BV1yt4y1Q7SS","278244978992","[妙啊]","妙啊","被发现了
[妙啊]","被发现了
[妙啊]","https://i0.hdslb.com/bfs/emote/b4cb77159d58614a9b787b91b1cd22a81f383535.png","1170983240","song凛","2025-10-05T15:58:42+00:00"
"BV1yt4y1Q7SS","276567912625","[doge]","doge","我看看还有谁在看[doge]","我看看还有谁在看[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","1597155895","Mrskoda","2025-10-04T10:36:11+00:00"
"BV1yt4y1Q7SS","276489590881","[笑哭]","笑哭","怎么看这玩意儿我的手机还会震[笑哭]","怎么看这玩意儿我的手机还会震[笑哭]","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","1866721180","曼波520","2025-10-03T15:47:06+00:00"
"BV1yt4y1Q7SS","275827024321","[OK]","OK","镇镇之宝我肯定看过呀，一场节奏的盛宴[OK]","镇镇之宝我肯定看过呀，一场节奏的盛宴[OK]","https://i0.hdslb.com/bfs/emote/4683fd9ffc925fa6423110979d7dcac5eda297f4.png","1981394559","只能不起眼的小东西","2025-09-27T07:16:22+00:00"
"BV1yt4y1Q7SS","277272452336","[笑哭]","笑哭","随时点进来都有人[笑哭]","随时点进来都有人[笑哭]","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","626183810","小魔王觉得很凎","2025-09-27T02:29:24+00:00"
"BV1yt4y1Q7SS","275809444849","[笑哭]","笑哭","质量确实很好，但是破亿的话不太可能了[笑哭]","质量确实很好，但是破亿的话不太可能了[笑哭]","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","534997168","空尘缘コイン","2025-09-27T03:52:43+00:00"
"BV1yt4y1Q7SS","277246651936","[doge]","doge","还有人吗[doge]","还有人吗[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","2102379342","HK416-_MOD3","2025-09-26T16:25:02+00:00"
"BV1yt4y1Q7SS","273279171137","[奋斗]","奋斗","@陈晖洁zz 给我回来看啊啊啊啊啊啊啊啊[奋斗][奋斗][奋斗][奋斗][奋斗]","@陈晖洁zz 给我回来看啊啊啊啊啊啊啊啊[奋斗][奋斗][奋斗][奋斗][奋斗]","https://i0.hdslb.com/bfs/emote/bb2060c15dba7d3fd731c35079d1617f1afe3376.png","1666381786","Z辉H","2025-08-30T13:54:35+00:00"
"BV1yt4y1Q7SS","273228849361","[微笑]","微笑","出一个四川话的，第十遍了[微笑]","出一个四川话的，第十遍了[微笑]","https://i0.hdslb.com/bfs/emote/685612eadc33f6bc233776c6241813385844f182.png","3537105561061392","778小枫叶","2025-08-30T05:39:05+00:00"
"BV1yt4y1Q7SS","273228973873","[微笑]","微笑","出一个四川话的，第九遍了[微笑]","出一个四川话的，第九遍了[微笑]","https://i0.hdslb.com/bfs/emote/685612eadc33f6bc233776c6241813385844f182.png","3537105561061392","778小枫叶","2025-08-30T05:38:56+00:00"
"BV1yt4y1Q7SS","273228904017","[微笑]","微笑","出一个四川话的，第八遍了[微笑]","出一个四川话的，第八遍了[微笑]","https://i0.hdslb.com/bfs/emote/685612eadc33f6bc233776c6241813385844f182.png","3537105561061392","778小枫叶","2025-08-30T05:38:39+00:00"
"BV1yt4y1Q7SS","273228826881","[微笑]","微笑","出一个四川话的，第七遍了[微笑]","出一个四川话的，第七遍了[微笑]","https://i0.hdslb.com/bfs/emote/685612eadc33f6bc233776c6241813385844f182.png","3537105561061392","778小枫叶","2025-08-30T05:38:24+00:00"
"BV1yt4y1Q7SS","273228888705","[微笑]","微笑","出一个四川话的，第六遍了[微笑]","出一个四川话的，第六遍了[微笑]","https://i0.hdslb.com/bfs/emote/685612eadc33f6bc233776c6241813385844f182.png","3537105561061392","778小枫叶","2025-08-30T05:38:14+00:00"
"BV1yt4y1Q7SS","273228881921","[微笑]","微笑","出一个四川话的，第五遍了[微笑]","出一个四川话的，第五遍了[微笑]","https://i0.hdslb.com/bfs/emote/685612eadc33f6bc233776c6241813385844f182.png","3537105561061392","778小枫叶","2025-08-30T05:38:02+00:00"
"BV1yt4y1Q7SS","273228716321","[微笑]","微笑","出一个四川话的，第四遍了[微笑]","出一个四川话的，第四遍了[微笑]","https://i0.hdslb.com/bfs/emote/685612eadc33f6bc233776c6241813385844f182.png","3537105561061392","778小枫叶","2025-08-30T05:37:53+00:00"
"BV1yt4y1Q7SS","273228710609","[微笑]","微笑","出一个四川话的，第三遍了[微笑]","出一个四川话的，第三遍了[微笑]","https://i0.hdslb.com/bfs/emote/685612eadc33f6bc233776c6241813385844f182.png","3537105561061392","778小枫叶","2025-08-30T05:37:43+00:00"
"BV1yt4y1Q7SS","270065560913","[笑哭]","笑哭","@玖秋小奈 [笑哭]","@玖秋小奈 [笑哭]","https://i0.hdslb.com/bfs/emote/c3043ba94babf824dea03ce500d0e73763bf4f40.png","1879348496","窝不药呀","2025-08-04T11:03:48+00:00"
"BV1yt4y1Q7SS","271296098480","[思考]","思考","考古[思考]","考古[思考]","https://i0.hdslb.com/bfs/emote/cfa9b7e89e4bfe04bbcd34ccb1b0df37f4fa905c.png","1629463911","掌中飞物","2025-08-04T10:40:41+00:00"
"BV1yt4y1Q7SS","271281752016","[doge]","doge","时空小子[doge]","时空小子[doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","3537116283800318","前后皆佐鼬","2025-08-04T08:40:20+00:00"
