"bvid","rpid","emoji_alt","emoji_name","message","sentence","emote_url","mid","uname","ctime_iso"
"BV1zp4y1U7Z5","5086127673","[doge]","doge","虽然阿弥粉丝不多 但是视频的质量都很高 看得出来有很用心做视频[doge]但这并不能改变我白嫖的习惯","虽然阿弥粉丝不多 但是视频的质量都很高 看得出来有很用心做视频[doge]但这并不能改变我白嫖的习惯","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","29531609","CJiem_","2021-08-06T08:58:47+00:00"
"BV1zp4y1U7Z5","5084539027","[打call]","打call","[打call][打call][打call]","[打call][打call][打call]","https://i0.hdslb.com/bfs/emote/431432c43da3ee5aab5b0e4f8931953e649e9975.png","103354288","Bullet_0818","2021-08-06T05:08:57+00:00"
"BV1zp4y1U7Z5","5076337381","[大哭]","大哭","希望这次2022冬奥会~~还能上那排练了1年的子弟兵们都回来！继续给我们表演下！完成大家的梦想！[大哭][大哭][大哭][大哭]","希望这次2022冬奥会~~还能上那排练了1年的子弟兵们都回来！继续给我们表演下！完成大家的梦想！[大哭][大哭][大哭][大哭]","https://i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png","50658","春哥夸我够爷们","2021-08-05T05:40:40+00:00"
"BV1zp4y1U7Z5","5066641027","[打call]","打call","希望今年冬奥会可以有皮影戏[打call]","希望今年冬奥会可以有皮影戏[打call]","https://i0.hdslb.com/bfs/emote/431432c43da3ee5aab5b0e4f8931953e649e9975.png","1096943683","fullsavage","2021-08-04T02:42:30+00:00"
"BV1zp4y1U7Z5","5064052425","[辣眼睛]","辣眼睛","让我来策划，我可能会疯掉[辣眼睛]","让我来策划，我可能会疯掉[辣眼睛]","https://i0.hdslb.com/bfs/emote/35d62c496d1e4ea9e091243fa812866f5fecc101.png","132353285","伍费柒杠陆","2021-08-03T14:59:11+00:00"
"BV1zp4y1U7Z5","3266638309","[大哭]","大哭","他们会听你的吗？[大哭]","他们会听你的吗？[大哭]","https://i0.hdslb.com/bfs/emote/2caafee2e5db4db72104650d87810cc2c123fc86.png","225903950","三次元dd","2020-07-31T11:45:43+00:00"
"BV1zp4y1U7Z5","3253701394","[doge]","doge","想知道陈丹青，有没有爬，有没有视频[doge][doge][doge][doge]","想知道陈丹青，有没有爬，有没有视频[doge][doge][doge][doge]","https://i0.hdslb.com/bfs/emote/3087d273a78ccaff4bb1e9972e2ba2a7583c9f11.png","343791854","薄荷硬糖and桃子软糖","2020-07-29T06:01:37+00:00"
"BV1zp4y1U7Z5","3253392213","[大笑]","大笑","终于连上网了，告诉你们一个好消息，今年，2008年奥运举办场所在北京！[大笑]","终于连上网了，告诉你们一个好消息，今年，2008年奥运举办场所在北京！[大笑]","https://i0.hdslb.com/bfs/emote/ca94ad1c7e6dac895eb5b33b7836b634c614d1c0.png","500987519","Eurururu","2020-07-29T04:57:02+00:00"
"BV1zp4y1U7Z5","3252780871","[吃瓜]","吃瓜","弹幕里刷岁数的，唉……低龄化严重啊，甚至有一些成年的也刷…破站牛逼[吃瓜]","弹幕里刷岁数的，唉……低龄化严重啊，甚至有一些成年的也刷…破站牛逼[吃瓜]","https://i0.hdslb.com/bfs/emote/4191ce3c44c2b3df8fd97c33f85d3ab15f4f3c84.png","333882785","上海涵超饰服有限公司","2020-07-29T02:52:18+00:00"
"BV1zp4y1U7Z5","3189549283","[笑]","笑","艹，，19,20的还发年龄，素质呢？？[笑]","艹，，19,20的还发年龄，素质呢？？[笑]","https://i0.hdslb.com/bfs/emote/81edf17314cea3b48674312b4364df44d5c01f17.png","382107850","时间女孩时崎狂三","2020-07-17T01:04:24+00:00"
