bvid,emoji_alt,emoji_name,message,sentence,mid,uname,ctime_iso
BV1MN4y177PB,[哦呼],哦呼,[打call][打call][打call][哦呼],[打call][打call][打call][哦呼],1815367263,CAEygpt,2025-11-19T18:06:05+00:00
BV1MN4y177PB,[支持],支持,这是我见过一键三连最多的视频，共情到了大多数人[支持],这是我见过一键三连最多的视频，共情到了大多数人[支持],693998500,zz9317,2025-11-19T01:33:57+00:00
BV1MN4y177PB,[打call],打call,这二舅是值得敬佩的人[打call],这二舅是值得敬佩的人[打call],1754976998,真燕无忧,2025-11-17T12:48:29+00:00
BV1MN4y177PB,[OK],OK,二舅 十年后我再来看你[OK],二舅 十年后我再来看你[OK],3690971994786744,围棋8格怎么输,2025-11-14T14:21:26+00:00
BV1MN4y177PB,[笑哭],笑哭,那这个医生真够坏的 一天给打了4针 小时候我哥被村里医生打了1针 屁股上永远的留下了一块1元硬币大小的伤疤[笑哭],那这个医生真够坏的 一天给打了4针 小时候我哥被村里医生打了1针 屁股上永远的留下了一块1元硬币大小的伤疤[笑哭],581725095,绿野仙踪KD,2025-11-14T07:33:40+00:00
BV1MN4y177PB,[打call],打call,[支持][支持][打call],[支持][支持][打call],3546876267727447,最强猫族战神,2025-11-14T02:36:09+00:00
BV1MN4y177PB,[打call],打call,谢谢你让我吃上细糠[打call],谢谢你让我吃上细糠[打call],1868942782,只能看到自由,2025-11-12T16:09:30+00:00
BV1MN4y177PB,[微笑],微笑,这才是人间的故事啊！[微笑],这才是人间的故事啊！[微笑],3546652092664797,禹沐曦,2025-11-08T09:01:20+00:00
BV1MN4y177PB,[笑哭],笑哭,二舅啊，又见面了[笑哭],二舅啊，又见面了[笑哭],515839038,泰范闲的小鱼,2025-11-08T02:21:35+00:00
BV1MN4y177PB,[大哭],大哭,@落日叶子 [脱单doge][大哭][大哭][大哭][大哭],@落日叶子 [脱单doge][大哭][大哭][大哭][大哭],3537111189817971,临窗听春,2025-11-07T14:26:03+00:00
BV1MN4y177PB,[胜利],胜利,[胜利][胜利][胜利],[胜利][胜利][胜利],3632319413881487,郎行天下158,2025-11-07T11:12:55+00:00
BV1MN4y177PB,[抱拳],抱拳,[抱拳][抱拳][抱拳],[抱拳][抱拳][抱拳],1427476196,就守一个梦改,2025-11-05T06:27:36+00:00
BV1MN4y177PB,[笑哭],笑哭,现在才刚刷到[笑哭]从tim采访up那期来的,现在才刚刷到[笑哭]从tim采访up那期来的,3493105321905000,爱玩mc的倪某,2025-11-01T16:01:30+00:00
BV1MN4y177PB,[笑哭],笑哭,这人都不更新了，还入站必看[笑哭],这人都不更新了，还入站必看[笑哭],3546640442985304,欲买桂芲同载酒,2025-10-31T00:02:52+00:00
