bvid,emoji_alt,emoji_name,message,sentence,mid,uname,ctime_iso
BV1bW411n7fY,[打call],打call,2025年来考古[打call],2025年来考古[打call],162942100,小兽兽丷,2025-09-03T14:26:25+00:00
BV1bW411n7fY,[doge],doge,2077年了，还有人吗？[doge],2077年了，还有人吗？[doge],3546719348328675,贝利亚大大亡,2025-09-03T13:56:07+00:00
BV1bW411n7fY,[大哭],大哭,雖然現在鬼畜也不少，但是以前的b站更好[大哭],雖然現在鬼畜也不少，但是以前的b站更好[大哭],1249457709,She_STAR,2025-09-02T09:07:18+00:00
BV1bW411n7fY,[doge],doge,[doge],[doge],1266897962,我是老王qwp,2025-08-17T06:27:54+00:00
BV1bW411n7fY,[doge],doge,这个地方应该没人了吧 一个评论回来吃一遍 [doge][doge][doge],这个地方应该没人了吧 一个评论回来吃一遍 [doge][doge][doge],1816149336,乱跑的繁星赛文,2025-08-16T14:45:47+00:00
BV1bW411n7fY,[doge],doge,有的兄弟[doge],有的兄弟[doge],357998412,LeonardVinci,2025-08-16T15:15:51+00:00
BV1bW411n7fY,[歪嘴],歪嘴,考古[歪嘴],考古[歪嘴],1281184365,Sorcerer-Supreme,2025-08-16T11:35:17+00:00
BV1bW411n7fY,[吃瓜],吃瓜,房价也是视频这个时间点到高点开始往下走了[吃瓜],房价也是视频这个时间点到高点开始往下走了[吃瓜],594679,世一导,2025-08-16T09:32:36+00:00
BV1bW411n7fY,[doge],doge,[doge],[doge],3546949565287086,就是想看看名字能取多,2025-08-16T07:02:11+00:00
BV1bW411n7fY,[doge],doge,考古考古[doge],考古考古[doge],3537104711715470,凌云志__-,2025-07-28T01:29:42+00:00
BV1bW411n7fY,[笑哭],笑哭,俺又来了[笑哭],俺又来了[笑哭],10001731,Sugilite,2025-07-27T22:28:31+00:00
BV1bW411n7fY,[笑哭],笑哭,[笑哭]鬼畜区还是难涨粉，视频都播放量1e多了，粉丝才不到30w,[笑哭]鬼畜区还是难涨粉，视频都播放量1e多了，粉丝才不到30w,440460,仙芋芝麻不知春,2025-07-27T16:45:15+00:00
BV1bW411n7fY,[笑哭],笑哭,评论区今天看全是56级的[笑哭],评论区今天看全是56级的[笑哭],1870840904,睡觉靠窗恐惧症,2025-07-27T15:49:47+00:00
BV1bW411n7fY,[doge],doge,[doge],[doge],327586516,后现代主义艺术家,2025-07-27T16:12:45+00:00
BV1bW411n7fY,[doge],doge,[doge],[doge],1992877499,小咕子c,2025-07-28T20:43:20+00:00
BV1bW411n7fY,[打call],打call,考古[蹲蹲][打call],考古[蹲蹲][打call],1435035323,我的青青又雀雀,2025-07-27T11:25:46+00:00
BV1bW411n7fY,[笑哭],笑哭,都这么多年了[笑哭]同时在线看的还有31人,都这么多年了[笑哭]同时在线看的还有31人,244225459,戏北平,2025-07-27T10:43:08+00:00
BV1bW411n7fY,[doge],doge,[doge],[doge],1967686636,空格Emm,2025-06-28T11:29:16+00:00
BV1bW411n7fY,[笑哭],笑哭,啥时候点进来都有人在看[笑哭],啥时候点进来都有人在看[笑哭],413400443,平平无奇的草种子,2025-06-28T07:29:20+00:00
BV1bW411n7fY,[doge],doge,每日一遍之我叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叒来一遍[doge][doge][doge],每日一遍之我叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叕叒来一遍[doge][doge][doge],1838395613,无尽青会,2025-06-28T06:25:36+00:00
BV1bW411n7fY,[doge],doge,自己数[doge],自己数[doge],1838395613,无尽青会,2025-06-28T10:54:52+00:00
BV1bW411n7fY,[支持],支持,好家伙，这得是多少次了？[支持],好家伙，这得是多少次了？[支持],3493078908275518,沐风千秋,2025-06-28T10:54:21+00:00
BV1bW411n7fY,[doge],doge,没人了吧[doge],没人了吧[doge],3493133123848288,衢巷-秦中曲,2025-06-28T05:12:50+00:00
BV1bW411n7fY,[笑哭],笑哭,又刷到了[笑哭],又刷到了[笑哭],1911798103,入机笨-,2025-06-28T05:48:51+00:00
BV1bW411n7fY,[doge],doge,这是第几遍来着，我忘了[doge][doge][doge],这是第几遍来着，我忘了[doge][doge][doge],1838395613,无尽青会,2025-06-28T06:21:21+00:00
