bvid,emoji_alt,emoji_name,message,sentence,mid,uname,ctime_iso
BV1cy4y1k7A2,[吃瓜],吃瓜,[吃瓜],[吃瓜],1204242055,Mr-Mr-K,2022-07-28T05:07:59+00:00
BV1cy4y1k7A2,[墨镜],墨镜,不看了 明天还要早起去抽冠位骑阶 诺亚[墨镜],不看了 明天还要早起去抽冠位骑阶 诺亚[墨镜],24940592,冰狮幻德,2022-07-25T16:54:28+00:00
BV1cy4y1k7A2,[思考],思考,[思考],[思考],1774339682,账号已注销,2022-07-25T16:43:28+00:00
BV1cy4y1k7A2,[思考],思考,[思考],[思考],1332797514,ULTRAMANorbookii,2022-07-25T14:56:51+00:00
BV1cy4y1k7A2,[doge],doge,所以问题来了，如果一开始就“借”plus4MB，那不就不需要花精力修复了吗？[doge][doge][滑稽],所以问题来了，如果一开始就“借”plus4MB，那不就不需要花精力修复了吗？[doge][doge][滑稽],377681021,矮绵羊,2022-07-21T14:49:10+00:00
BV1cy4y1k7A2,[耍帅],耍帅,[耍帅],[耍帅],389840264,小小馨呢_,2021-09-15T12:09:33+00:00
BV1cy4y1k7A2,[doge],doge,[doge],[doge],363072669,网络不掉线,2021-09-14T14:19:54+00:00
BV1cy4y1k7A2,[星星眼],星星眼,绝对高质量[星星眼],绝对高质量[星星眼],107680909,IP小花旦,2020-11-09T13:32:22+00:00
BV1cy4y1k7A2,[害羞],害羞,9:39 是用什么设备怎么拍的哇？ 摄影课代表帮忙解答一下[害羞],9:39 是用什么设备怎么拍的哇？ 摄影课代表帮忙解答一下[害羞],317073466,驭风集,2020-11-09T12:58:47+00:00
BV1cy4y1k7A2,[OK],OK,看完小何的视频滚去学习了[OK][OK],看完小何的视频滚去学习了[OK][OK],282906488,浮尘Aur,2020-11-09T12:04:44+00:00
