bvid,emoji_alt,emoji_name,message,sentence,mid,uname,ctime_iso
BV1es411D7sW,[打call],打call,[打call],[打call],457082756,卧底永仁,2025-11-20T18:52:16+00:00
BV1es411D7sW,[星星眼],星星眼,啊b站真的人才啊这歌出这呢[星星眼][星星眼],啊b站真的人才啊这歌出这呢[星星眼][星星眼],652585259,逆而战之,2025-11-19T16:04:25+00:00
BV1es411D7sW,[思考],思考,十年了啊[思考],十年了啊[思考],3494356092717104,叁零叁号病人,2025-11-11T12:35:35+00:00
BV1es411D7sW,[打call],打call,5100w播放量贺喜[打call],5100w播放量贺喜[打call],1588394259,阿鲁克Lorentz,2025-11-09T01:20:57+00:00
BV1es411D7sW,[doge],doge,出个areyouok十周年版[doge],出个areyouok十周年版[doge],145596406,LR小北北,2025-11-08T11:26:27+00:00
BV1es411D7sW,[doge],doge,[doge],[doge],2128007774,Steven_CS,2025-11-10T12:38:16+00:00
BV1es411D7sW,[笑哭],笑哭,十年了[笑哭],十年了[笑哭],2079097981,凌谦呀,2025-11-04T02:48:26+00:00
BV1es411D7sW,[吃瓜],吃瓜,https://b23.tv/BV1KqyUBtEvR [吃瓜],https://b23.tv/BV1KqyUBtEvR [吃瓜],490603735,无敌小卡哇_Misaka,2025-10-31T12:43:00+00:00
BV1es411D7sW,[星星眼],星星眼,[星星眼],[星星眼],18878490,東山翔,2025-10-30T13:11:28+00:00
BV1es411D7sW,[笑哭],笑哭,曾经小米手机设置里能直接把这个设为铃声，用了好久，最近突然发现我们科长铃声换成这个了[笑哭],曾经小米手机设置里能直接把这个设为铃声，用了好久，最近突然发现我们科长铃声换成这个了[笑哭],27534740,薇鹅莉特・伊芙加登,2025-10-29T14:47:31+00:00
BV1es411D7sW,[喜极而泣],喜极而泣,那140w人真的会常听吗[喜极而泣]up主也算有头有脸的制作人了,那140w人真的会常听吗[喜极而泣]up主也算有头有脸的制作人了,487761200,武祀舞肆,2025-10-28T16:49:52+00:00
BV1es411D7sW,[哦呼],哦呼,我天十年了[哦呼],我天十年了[哦呼],1574740598,达达鸭的腿环,2025-10-25T16:43:48+00:00
BV1es411D7sW,[笑哭],笑哭,屠龙的少年终将成魔吗？有点易死了[笑哭],屠龙的少年终将成魔吗？有点易死了[笑哭],525388332,嘿嘿了些,2025-10-25T10:50:30+00:00
BV1es411D7sW,[思考],思考,我是来考古的，这里应该没有人了吧？那我就，大挖特挖[思考],我是来考古的，这里应该没有人了吧？那我就，大挖特挖[思考],3546957316360269,也许我是一个侦测器,2025-10-25T08:09:33+00:00
BV1es411D7sW,[笑哭],笑哭,十年多了[笑哭],十年多了[笑哭],17302813,如苏如我,2025-10-23T11:11:18+00:00
BV1es411D7sW,[笑哭],笑哭,没绷住，小米这两年销量是others，vivo第一华为第二[笑哭],没绷住，小米这两年销量是others，vivo第一华为第二[笑哭],428242375,铀少爷铀糖,2025-10-23T01:56:26+00:00
BV1es411D7sW,[思考],思考,有希望破亿吗[思考],有希望破亿吗[思考],1111553293,永远不得鼻窦炎吆,2025-10-20T12:59:46+00:00
BV1es411D7sW,[笑哭],笑哭,回复 @37753666 :不对，要是当时小米有现在这种法务绝对会起诉的[笑哭],回复 @37753666 :不对，要是当时小米有现在这种法务绝对会起诉的[笑哭],3493080967678589,-----_____-_,2025-11-02T04:37:11+00:00
BV1es411D7sW,[吃瓜],吃瓜,因为小米火了（等离子态）[吃瓜],因为小米火了（等离子态）[吃瓜],2076618809,哈基林林林,2025-10-21T14:07:35+00:00
BV1es411D7sW,[doge],doge,来考古了[doge],来考古了[doge],690832427,AAA律师成步堂,2025-10-18T12:00:29+00:00
BV1es411D7sW,[灵魂出窍],灵魂出窍,"Find, 已经成灰[灵魂出窍]","Find, 已经成灰[灵魂出窍]",294931486,又是成长快乐的一天,2025-10-18T04:59:32+00:00
BV1es411D7sW,[doge],doge,@魇胜丶 又怕雷总破产，又怕雷总开路虎[doge],@魇胜丶 又怕雷总破产，又怕雷总开路虎[doge],1864754065,有些人急了_哈哈,2025-10-17T01:23:41+00:00
BV1es411D7sW,[doge],doge,[doge][妙啊][嗑瓜子],[doge][妙啊][嗑瓜子],593175457,AZ风宇极客,2025-10-17T10:40:26+00:00
BV1es411D7sW,[doge],doge,考古[doge],考古[doge],18573709,QetoX999,2025-10-16T06:35:17+00:00
BV1es411D7sW,[doge],doge,常看常新，常看常新啊[doge],常看常新，常看常新啊[doge],337974084,借雨梦云,2025-10-15T11:24:07+00:00
BV1es411D7sW,[难过],难过,人是会变的[难过],人是会变的[难过],1924583687,Vinger-齐天大圣-水饺喵,2025-10-14T22:58:54+00:00
BV1es411D7sW,[微笑],微笑,回复 @TwinkYou :说的有道理[微笑],回复 @TwinkYou :说的有道理[微笑],1924583687,Vinger-齐天大圣-水饺喵,2025-10-16T22:46:33+00:00
BV1es411D7sW,[OK],OK,十年前的视频，没有比我更晚的了[OK],十年前的视频，没有比我更晚的了[OK],3546674028874005,CTD争渡,2025-10-14T15:30:58+00:00
BV1es411D7sW,[滑稽],滑稽,年年看，年年新[滑稽],年年看，年年新[滑稽],397049993,武大日本留学生雨田君,2025-10-14T10:14:20+00:00
BV1es411D7sW,[惊讶],惊讶,"等等,这竟然是2015年的作品吗！[惊讶][惊讶][惊讶]","等等,这竟然是2015年的作品吗！[惊讶][惊讶][惊讶]",1961296642,每日拌饭海苔珍虾味,2025-10-12T11:33:02+00:00
BV1es411D7sW,[星星眼],星星眼,[星星眼],[星星眼],3546386584832260,黑白阴阳师异界游,2025-10-13T04:06:46+00:00
BV1es411D7sW,[吃瓜],吃瓜,[吃瓜],[吃瓜],860,散兵,2025-10-12T10:10:23+00:00
BV1es411D7sW,[doge],doge,有的有的，每日一遍[doge],有的有的，每日一遍[doge],3493116917058013,皮卡丘魁,2025-10-09T13:07:11+00:00
