bvid,emoji_alt,emoji_name,message,sentence,mid,uname,ctime_iso
BV1f4411M7QC,[喜极而泣],喜极而泣,六年多了[喜极而泣],六年多了[喜极而泣],3546746953140280,啵啵啵啵hhh,2025-11-21T04:54:37+00:00
BV1f4411M7QC,[笑哭],笑哭,27.7万赞[笑哭],27.7万赞[笑哭],2508901,带主播,2025-11-21T02:31:30+00:00
BV1f4411M7QC,[偷笑],偷笑,时间会给出答案。[大笑][大笑][大笑][滑稽][偷笑],时间会给出答案。[大笑][大笑][大笑][滑稽][偷笑],3494378557410035,美香快乐幸福,2025-11-20T15:58:11+00:00
BV1f4411M7QC,[捂眼],捂眼,这里面的sd卡都成历史了[捂眼] 20年上学还跟个宝贝一样揣着,这里面的sd卡都成历史了[捂眼] 20年上学还跟个宝贝一样揣着,622813667,头铁de小李同学,2025-11-20T16:05:37+00:00
BV1f4411M7QC,[思考],思考,回复 @头铁de小李同学 :sd卡是啥[思考]是插的电话卡吗？,回复 @头铁de小李同学 :sd卡是啥[思考]是插的电话卡吗？,3494378557410035,美香快乐幸福,2025-11-20T16:26:01+00:00
BV1f4411M7QC,[笑哭],笑哭,六年了，这个视频[笑哭],六年了，这个视频[笑哭],398632415,天文数字货币,2025-11-20T04:42:48+00:00
BV1f4411M7QC,[doge],doge,2025年11月19日 23:25分观看[doge],2025年11月19日 23:25分观看[doge],457070154,吃面Bu加卤蛋,2025-11-19T15:25:56+00:00
BV1f4411M7QC,[笑哭],笑哭,现在来看，变化最大的是ai和机器人吧[笑哭],现在来看，变化最大的是ai和机器人吧[笑哭],437538694,星轨云迹_,2025-11-19T12:21:16+00:00
BV1f4411M7QC,[呲牙],呲牙,常看常新这一块[呲牙],常看常新这一块[呲牙],492543151,_Nik0major-,2025-11-19T08:15:44+00:00
BV1f4411M7QC,[哦呼],哦呼,[哦呼],[哦呼],88456728,Nekobyte,2025-11-20T06:01:58+00:00
BV1f4411M7QC,[doge],doge,还有人我吃[doge][doge][doge],还有人我吃[doge][doge][doge],1498084809,Cube_家,2025-11-17T14:53:20+00:00
BV1f4411M7QC,[呲牙],呲牙,[呲牙],[呲牙],414832113,uyuiusag,2025-11-15T17:53:46+00:00
BV1f4411M7QC,[星星眼],星星眼,[星星眼],[星星眼],3546882875853543,姜鸭尼布号,2025-11-15T08:15:21+00:00
BV1f4411M7QC,[打call],打call,[打call],[打call],21318677,贰1318677,2025-11-15T06:12:25+00:00
BV1f4411M7QC,[OK],OK,[OK],[OK],4730188,水橋帕露西_,2025-11-08T19:46:17+00:00
BV1f4411M7QC,[吃瓜],吃瓜,额，那个，现在五g有啥用吗[吃瓜],额，那个，现在五g有啥用吗[吃瓜],691045803,一杯一浊酒,2025-11-08T15:55:53+00:00
BV1f4411M7QC,[吃瓜],吃瓜,不爱看也得看=必看[吃瓜],不爱看也得看=必看[吃瓜],8674637,铁铁侠丶,2025-11-05T15:24:54+00:00
BV1f4411M7QC,[笑哭],笑哭,要不是买了千兆网络（家里wifi）哪有那么快啊[笑哭]而且也才100MB/s 出头,要不是买了千兆网络（家里wifi）哪有那么快啊[笑哭]而且也才100MB/s 出头,401615860,星核猎手卡芙卡Official,2025-10-28T03:19:41+00:00
BV1f4411M7QC,[无语],无语,这网速普通人再过五年也够呛能用上[无语],这网速普通人再过五年也够呛能用上[无语],3493094156667751,Hordoll,2025-10-23T14:35:12+00:00
BV1f4411M7QC,[doge],doge,钱不够，要贵的套餐才有贵的服务[doge],钱不够，要贵的套餐才有贵的服务[doge],269832658,上穷碧络,2025-10-20T17:16:42+00:00
BV1f4411M7QC,[笑哭],笑哭,招笑[笑哭],招笑[笑哭],475467608,太白垂涎,2025-10-16T00:28:09+00:00
BV1f4411M7QC,[doge],doge,留名[doge],留名[doge],390244162,DD第二代,2025-10-07T15:54:24+00:00
BV1f4411M7QC,[笑哭],笑哭,刚看完视频就试了下载王者，有六七十MB每秒，不敢再试了，真没流量了[笑哭],刚看完视频就试了下载王者，有六七十MB每秒，不敢再试了，真没流量了[笑哭],383062581,幻星break,2025-10-06T00:16:36+00:00
BV1f4411M7QC,[doge],doge,弄个大流量卡实现上网自由[doge],弄个大流量卡实现上网自由[doge],175568834,清-之秋,2025-11-15T10:07:08+00:00
BV1f4411M7QC,[大哭],大哭,五年之期已到，恭迎龙王归位[大哭],五年之期已到，恭迎龙王归位[大哭],1094003816,狗狗最可爱爱听它们叫,2025-09-23T12:20:20+00:00
BV1f4411M7QC,[doge],doge,我的OPPO A36也只支持4G[doge],我的OPPO A36也只支持4G[doge],3493121717438990,那维莱特の龙王,2025-09-25T20:45:51+00:00
BV1f4411M7QC,[笑哭],笑哭,还在用4G的举个手[笑哭],还在用4G的举个手[笑哭],1796086443,哈哈哈哈_-_哈-_-,2025-09-21T02:15:14+00:00
BV1f4411M7QC,[doge],doge,[doge],[doge],1219488529,衰气的船只,2025-09-21T07:51:12+00:00
BV1f4411M7QC,[调皮],调皮,[调皮],[调皮],1625518490,乌梁素海的夜,2025-09-21T00:21:01+00:00
BV1f4411M7QC,[妙啊],妙啊,[妙啊],[妙啊],386439160,大师wo悟了,2025-09-18T23:56:35+00:00
BV1f4411M7QC,[笑哭],笑哭,评论区一堆时空警察[笑哭],评论区一堆时空警察[笑哭],1787715333,Mr_摘星林,2025-10-04T02:43:40+00:00
BV1f4411M7QC,[doge],doge,回来看看[doge],回来看看[doge],243833208,烟橙w,2025-09-11T06:37:53+00:00
BV1f4411M7QC,[吃瓜],吃瓜,[吃瓜][吃瓜][吃瓜]有的有的,[吃瓜][吃瓜][吃瓜]有的有的,13378632,bili_拌饭,2025-09-13T17:24:41+00:00
BV1f4411M7QC,[笑哭],笑哭,就这个视频，甚至是入站必刷[笑哭],就这个视频，甚至是入站必刷[笑哭],3493125863508448,McBandit233,2025-09-07T19:45:55+00:00
BV1f4411M7QC,[辣眼睛],辣眼睛,[辣眼睛],[辣眼睛],2040902604,chA-ro-N,2025-09-02T01:17:53+00:00
BV1f4411M7QC,[辣眼睛],辣眼睛,[辣眼睛],[辣眼睛],42200289,titieom,2025-08-31T06:23:02+00:00
BV1f4411M7QC,[笑哭],笑哭,五年后连速度都没了[笑哭],五年后连速度都没了[笑哭],52210929,迷失封情,2025-08-29T00:46:53+00:00
BV1f4411M7QC,[星星眼],星星眼,已经6年了[星星眼],已经6年了[星星眼],180507082,叶子iiika,2025-08-24T19:04:00+00:00
BV1f4411M7QC,[生病],生病,这五年发生太多太多事了[生病][生病],这五年发生太多太多事了[生病][生病],3546714233374772,根号三十二,2025-08-23T15:09:50+00:00
BV1f4411M7QC,[生病],生病,我求求你別再說了[生病],我求求你別再說了[生病],1553321598,内容不感兴趣,2025-10-09T03:14:13+00:00
BV1f4411M7QC,[doge],doge,wo!wo![doge],wo!wo![doge],1356324712,掉进泥坑的佩奇,2025-09-09T14:14:02+00:00
BV1f4411M7QC,[吃瓜],吃瓜,常看常新，b站是会推流的[吃瓜],常看常新，b站是会推流的[吃瓜],293377751,青安南木,2025-08-13T03:25:19+00:00
BV1f4411M7QC,[呲牙],呲牙,[呲牙],[呲牙],502914394,qqqww_,2025-08-12T12:23:32+00:00
BV1f4411M7QC,[星星眼],星星眼,[星星眼][星星眼][星星眼],[星星眼][星星眼][星星眼],38123405,h_1ro,2025-08-12T02:40:34+00:00
BV1f4411M7QC,[支持],支持,[支持][支持][支持],[支持][支持][支持],123042592,123042592,2025-08-12T00:48:39+00:00
BV1f4411M7QC,[呲牙],呲牙,五年后前来考古[呲牙],五年后前来考古[呲牙],38130040,时尚果汁,2025-08-11T22:49:36+00:00
BV1f4411M7QC,[撇嘴],撇嘴,现在还有这个速度吗？[撇嘴],现在还有这个速度吗？[撇嘴],501386309,人员发海沸河翻,2025-08-11T09:16:14+00:00
BV1f4411M7QC,[笑哭],笑哭,回复 @我和喵酱贴贴 :我刚测了一下最高300M 青海移动 测试设备iPhone14Pro[笑哭],回复 @我和喵酱贴贴 :我刚测了一下最高300M 青海移动 测试设备iPhone14Pro[笑哭],1968880232,Dream-Jiaozi,2025-09-06T13:01:53+00:00
