bvid,emoji_alt,emoji_name,message,sentence,mid,uname,ctime_iso
BV1gF41117fN,[笑哭],笑哭,我也做到这个了[笑哭]当时直接虎躯一震,我也做到这个了[笑哭]当时直接虎躯一震,1076590901,等到麻雀上落满石狮子,2024-11-03T10:01:52+00:00
BV1gF41117fN,[doge],doge,上我英语作业了[doge],上我英语作业了[doge],490903577,森ruaaaaaaaaaaaa,2024-10-13T00:52:02+00:00
BV1gF41117fN,[支持],支持,点了，我们也做了[doge_金箍][支持],点了，我们也做了[doge_金箍][支持],1144704619,逐秋客-_,2024-10-13T10:12:40+00:00
BV1gF41117fN,[doge],doge,记住我，我会走遍整个哔哩哔哩。[doge],记住我，我会走遍整个哔哩哔哩。[doge],2045271519,疯狂马加七,2024-10-07T09:04:47+00:00
BV1gF41117fN,[大哭],大哭,终于找到你啦！之前刷过这个视频想再看却怎么都找不到了搜了全球拍照，中国省份拍照都搜不到别的软件也搜不到今天终于在首页刷到了！www[大哭],终于找到你啦！之前刷过这个视频想再看却怎么都找不到了搜了全球拍照，中国省份拍照都搜不到别的软件也搜不到今天终于在首页刷到了！www[大哭],701639209,柑子菊,2024-09-28T13:24:09+00:00
BV1gF41117fN,[笑哭],笑哭,给我我也不会用[笑哭],给我我也不会用[笑哭],1903279135,抢网,2024-09-09T15:26:57+00:00
BV1gF41117fN,[喜欢],喜欢,[喜欢],[喜欢],179001065,七百-,2023-10-07T06:27:20+00:00
BV1gF41117fN,[大哭],大哭,有港澳台是我没想到，居然还能漂流这么远[支持]厉害，各位大佬拍到也真的很不错，感动了[大哭],有港澳台是我没想到，居然还能漂流这么远[支持]厉害，各位大佬拍到也真的很不错，感动了[大哭],6592049,暗月小凡,2023-09-05T15:05:14+00:00
BV1gF41117fN,[大哭],大哭,@李的小五 [大哭],@李的小五 [大哭],34014174,喵-小七,2023-09-05T13:57:09+00:00
BV1gF41117fN,[doge],doge,淋过雨的某一天[doge],淋过雨的某一天[doge],86911119,Legend_Zz,2023-09-05T13:40:13+00:00
BV1gF41117fN,[吃瓜],吃瓜,这个随机和我想得随机有点不大一样啊[吃瓜],这个随机和我想得随机有点不大一样啊[吃瓜],14422639,马丹布鲁斯,2023-09-05T13:06:43+00:00
BV1gF41117fN,[星星眼],星星眼,很大胆的想法 也感谢这么多人完成了传递 羡慕 大家拍的好棒 希望以后自己技术精进一下 也能参加这种有意义的活动[星星眼][星星眼][星星眼],很大胆的想法 也感谢这么多人完成了传递 羡慕 大家拍的好棒 希望以后自己技术精进一下 也能参加这种有意义的活动[星星眼][星星眼][星星眼],23413721,zyloooong凡,2023-09-05T12:12:31+00:00
