bvid,emoji_alt,emoji_name,message,sentence,mid,uname,ctime_iso
BV1mK411V7wY,[大哭],大哭,你就是传奇[大哭],你就是传奇[大哭],631441391,但想明月清风,2024-11-11T14:50:05+00:00
BV1mK411V7wY,[笑哭],笑哭,以前有版权[笑哭],以前有版权[笑哭],392097720,孤独的我鱼鱼,2024-12-01T13:45:07+00:00
BV1mK411V7wY,[doge],doge,龙叔在家具厂宛如圣人坐镇小天地[doge],龙叔在家具厂宛如圣人坐镇小天地[doge],361826998,入更,2024-11-09T16:52:31+00:00
BV1mK411V7wY,[呲牙],呲牙,@成龙大哥流芳千古 @港生剪辑 @成天迷龙 @国际成学研究会 @海阔天空EM9Y 感觉不如李小龙大哥的动作比成龙的动作难1000倍成了动作非常的简单，普通人做一下就可以做好。而理想的动作普通人做到32所以就已经要嘎了[呲牙][支持][支持][支持][呲牙][呲牙],@成龙大哥流芳千古 @港生剪辑 @成天迷龙 @国际成学研究会 @海阔天空EM9Y 感觉不如李小龙大哥的动作比成龙的动作难1000倍成了动作非常的简单，普通人做一下就可以做好。而理想的动作普通人做到32所以就已经要嘎了[呲牙][支持][支持][支持][呲牙][呲牙],1250137006,清醒的人在糊涂的活着,2024-10-26T08:52:52+00:00
BV1mK411V7wY,[大哭],大哭,就不能再出一部龙叔的动漫吗？比如动漫版的警察故事[大哭]，龙叔打不动了，可以出动漫啊，好想看。不知道能不能行[大哭],就不能再出一部龙叔的动漫吗？比如动漫版的警察故事[大哭]，龙叔打不动了，可以出动漫啊，好想看。不知道能不能行[大哭],88488879,伽利略的铁锤,2022-10-26T11:26:52+00:00
BV1mK411V7wY,[思考],思考,感觉可以安排唉[思考],感觉可以安排唉[思考],86728498,冬瓜豆腐麻婆豆腐,2022-10-31T10:25:06+00:00
BV1mK411V7wY,[大哭],大哭,龙老了[大哭],龙老了[大哭],697927213,玉清岚,2022-10-25T14:38:40+00:00
BV1mK411V7wY,[无语],无语,回复 @空调-_- :尔等都是一介平民，能说的大概也只有内行的[无语],回复 @空调-_- :尔等都是一介平民，能说的大概也只有内行的[无语],393595615,流星撞击地球,2022-10-23T06:13:07+00:00
BV1mK411V7wY,[捂眼],捂眼,小时候跟我爸一起看醉拳，我爸说成龙真的会功夫[捂眼],小时候跟我爸一起看醉拳，我爸说成龙真的会功夫[捂眼],1113511960,C-小呆雙,2022-10-19T16:14:48+00:00
BV1mK411V7wY,[OK],OK,奥斯卡终身成就奖[OK],奥斯卡终身成就奖[OK],299224120,泪落青衫隐于心,2020-10-05T11:48:30+00:00
BV1mK411V7wY,[doge],doge,那边有楼梯！ 龙叔:太好了[doge],那边有楼梯！ 龙叔:太好了[doge],95718611,CC风峰,2020-10-05T05:26:05+00:00
BV1mK411V7wY,[大哭],大哭,我有时候想过希望龙叔年轻二十岁，不够后来一想，即便年轻二十岁也是五十[大哭]也不年轻了,我有时候想过希望龙叔年轻二十岁，不够后来一想，即便年轻二十岁也是五十[大哭]也不年轻了,179179012,雷诺的游骑,2020-10-05T01:07:52+00:00
BV1mK411V7wY,[支持],支持,一灯大师[支持],一灯大师[支持],20614707,知拙藏锋,2020-10-04T04:32:25+00:00
BV1mK411V7wY,[爱心],爱心,讲真的，龙叔这一辈子真的不易呀[爱心],讲真的，龙叔这一辈子真的不易呀[爱心],519084825,虾饺爱下棋,2020-10-04T03:26:09+00:00
BV1mK411V7wY,[加油],加油,热血无赖醉拳服装看来就是致敬龙叔了，但是想想也只能致敬龙叔[加油],热血无赖醉拳服装看来就是致敬龙叔了，但是想想也只能致敬龙叔[加油],284067097,CatBro139,2020-10-04T01:46:30+00:00
