bvid,emoji_alt,emoji_name,message,sentence,mid,uname,ctime_iso
BV1vx411K7jb,[思考],思考,[思考],[思考],502363429,凉拌海蜇皮o,2025-11-10T04:18:29+00:00
BV1vx411K7jb,[打call],打call,又来了[打call],又来了[打call],100702358,听风竹苑丶,2025-11-09T12:07:06+00:00
BV1vx411K7jb,[OK],OK,助力四千万中[OK],助力四千万中[OK],471001092,dangerous-girl,2025-11-07T20:09:01+00:00
BV1vx411K7jb,[大哭],大哭,还在看[大哭],还在看[大哭],387194781,随心意面,2025-11-04T11:35:58+00:00
BV1vx411K7jb,[大哭],大哭,归来吧[大哭][大哭][大哭],归来吧[大哭][大哭][大哭],305679060,小葵花止咳糖浆,2025-11-04T02:43:36+00:00
BV1vx411K7jb,[打call],打call,这是要破四千万的节奏嘛[星星眼][打call][打call],这是要破四千万的节奏嘛[星星眼][打call][打call],100764552,阿月饱饱,2025-10-30T13:01:32+00:00
BV1vx411K7jb,[OK],OK,多少年了又来看了[OK],多少年了又来看了[OK],448107252,某人很好-事,2025-10-26T09:57:02+00:00
BV1vx411K7jb,[大哭],大哭,好想看旧版番外[大哭],好想看旧版番外[大哭],650880893,通知勿扰,2025-10-25T13:26:26+00:00
BV1vx411K7jb,[笑哭],笑哭,应该是看不到了[笑哭]YT太摆了而且第二季不咋好看 只看第一季就挺好,应该是看不到了[笑哭]YT太摆了而且第二季不咋好看 只看第一季就挺好,674737911,_是阿晏啊_,2025-10-19T15:16:22+00:00
BV1vx411K7jb,[哦呼],哦呼,居然2014年的吗[哦呼],居然2014年的吗[哦呼],1045170864,毋关我,2025-10-18T07:20:22+00:00
BV1vx411K7jb,[委屈],委屈,又看完了[委屈]打卡,又看完了[委屈]打卡,1528795567,雾遮月下雪,2025-10-16T14:44:16+00:00
BV1vx411K7jb,[呲牙],呲牙,助力破4000w[呲牙],助力破4000w[呲牙],3493105212852768,绿豆是相思,2025-10-14T20:19:14+00:00
BV1vx411K7jb,[笑哭],笑哭,回复 @糯枣 :啊！？怎么是这样的发展！我的妈[笑哭],回复 @糯枣 :啊！？怎么是这样的发展！我的妈[笑哭],3435862,你好谢谢再见下次再来,2025-10-15T21:27:10+00:00
BV1vx411K7jb,[笑哭],笑哭,回复 @糯枣 :妈呀这么离谱吗[笑哭][笑哭]到底谁在闪耀啊,回复 @糯枣 :妈呀这么离谱吗[笑哭][笑哭]到底谁在闪耀啊,9017649,小边也不会,2025-10-14T19:54:00+00:00
BV1vx411K7jb,[妙啊],妙啊,n刷[妙啊],n刷[妙啊],526748138,伊犁河谷镇ohhhhhhhh,2025-10-08T13:20:19+00:00
BV1vx411K7jb,[笑哭],笑哭,[笑哭][doge_金箍],[笑哭][doge_金箍],504069943,Jieda-,2025-10-08T11:02:30+00:00
BV1vx411K7jb,[doge],doge,2025看完盛世天下过来的[doge],2025看完盛世天下过来的[doge],33149961,绮梦の织,2025-10-08T06:14:05+00:00
BV1vx411K7jb,[妙啊],妙啊,要我说遇龙演小姐的演员应该直接跟丫鬟演员搞cp，这样下一世跟龙王抢小丫鬟，这样话题度不就起来了吗[妙啊],要我说遇龙演小姐的演员应该直接跟丫鬟演员搞cp，这样下一世跟龙王抢小丫鬟，这样话题度不就起来了吗[妙啊],483439875,生如夏花-不虚此行,2025-10-07T12:32:09+00:00
BV1vx411K7jb,[doge],doge,刚刚看了那么多古早弹幕，现在猛的看到这条评论有恍若隔世之感[doge],刚刚看了那么多古早弹幕，现在猛的看到这条评论有恍若隔世之感[doge],1105167752,零上1度度,2025-10-07T14:07:01+00:00
BV1vx411K7jb,[妙啊],妙啊,回复 @零上1度度 :绷不住了，我还以为我发了没人看到，毕竟是考古[妙啊]。以后也会有人考古的，考古到我,回复 @零上1度度 :绷不住了，我还以为我发了没人看到，毕竟是考古[妙啊]。以后也会有人考古的，考古到我,483439875,生如夏花-不虚此行,2025-10-07T14:18:49+00:00
BV1vx411K7jb,[大哭],大哭,有生之年能看到散人玩重制版完结么[大哭][大哭][大哭][大哭][大哭][大哭][大哭],有生之年能看到散人玩重制版完结么[大哭][大哭][大哭][大哭][大哭][大哭][大哭],383487726,落日将浪漫兜售,2025-10-07T02:04:51+00:00
BV1vx411K7jb,[大哭],大哭,[大哭]好怀念,[大哭]好怀念,26425574,殷志源の女友,2025-10-05T17:43:30+00:00
BV1vx411K7jb,[星星眼],星星眼,[星星眼][星星眼][星星眼]好磕,[星星眼][星星眼][星星眼]好磕,66080337,CharlotteMax,2025-10-04T18:27:53+00:00
BV1vx411K7jb,[大哭],大哭,呜呜呜呜呜呜呜什么时候继续更[大哭][大哭]yt我等你等的好苦啊,呜呜呜呜呜呜呜什么时候继续更[大哭][大哭]yt我等你等的好苦啊,441101888,bili_10930553304,2025-10-03T07:44:39+00:00
BV1vx411K7jb,[大哭],大哭,跪求一双没看过星途闪耀的眼睛…[大哭]我要再看一遍,跪求一双没看过星途闪耀的眼睛…[大哭]我要再看一遍,3546578233068021,袂婷,2025-10-03T05:01:40+00:00
BV1vx411K7jb,[捂眼],捂眼,我也跪求一双没看过大叔宠妻超甜的眼睛[捂眼],我也跪求一双没看过大叔宠妻超甜的眼睛[捂眼],1105167752,零上1度度,2025-10-06T14:28:55+00:00
BV1vx411K7jb,[大哭],大哭,好怀念[大哭],好怀念[大哭],3493264340552425,珞棠1824,2025-10-02T08:47:15+00:00
