bvid,emoji_alt,emoji_name,message,sentence,mid,uname,ctime_iso
BV1yFCkBvEFV,[doge],doge,王家卫那句话不是想搞金靖，是借着金靖开秦雯的黄腔，“要是秦雯演金靖那个角色，那我一定要搞金靖（那个角色）”所以这俩之间指不定有啥小九九呢[doge],王家卫那句话不是想搞金靖，是借着金靖开秦雯的黄腔，“要是秦雯演金靖那个角色，那我一定要搞金靖（那个角色）”所以这俩之间指不定有啥小九九呢[doge],59893076,海货羽中,2025-11-21T07:51:07+00:00
BV1yFCkBvEFV,[辣眼睛],辣眼睛,贵圈真乱[辣眼睛],贵圈真乱[辣眼睛],261573144,二当家之逍遥大官人,2025-11-21T04:24:03+00:00
BV1yFCkBvEFV,[OK],OK,心眼儿脏的人，看谁都觉得脏； 自己惯常就爱装作有文化的人， 看到别人有文化，就会觉得装哈～！[响指][嗑瓜子][OK],心眼儿脏的人，看谁都觉得脏； 自己惯常就爱装作有文化的人， 看到别人有文化，就会觉得装哈～！[响指][嗑瓜子][OK],433380471,污白小夫-PRC,2025-11-21T03:29:12+00:00
BV1yFCkBvEFV,[喜极而泣],喜极而泣,王家卫还活着吗[喜极而泣]我一直以为早就不在了，可能是他电影的阴间滤镜吧，每次看到这个名字我就以为是个已故多时的导演[笑哭],王家卫还活着吗[喜极而泣]我一直以为早就不在了，可能是他电影的阴间滤镜吧，每次看到这个名字我就以为是个已故多时的导演[笑哭],23605317,点点の点点,2025-11-21T03:02:06+00:00
BV1yFCkBvEFV,[笑哭],笑哭,王家卫拍电影出了名的坑钱坑人[笑哭] 就是拖 给一千万他花两千万 还不没有个正点[笑哭],王家卫拍电影出了名的坑钱坑人[笑哭] 就是拖 给一千万他花两千万 还不没有个正点[笑哭],12700018,好一个蒜头王八,2025-11-21T02:34:37+00:00
BV1yFCkBvEFV,[翻白眼],翻白眼,@万物为一吾本虚无 世界太精彩了记得看完 [翻白眼],@万物为一吾本虚无 世界太精彩了记得看完 [翻白眼],1739629132,小张实况,2025-11-21T02:01:03+00:00
BV1yFCkBvEFV,[笑哭],笑哭,反正我是不相信历史的[笑哭],反正我是不相信历史的[笑哭],1568772430,不单单不止止,2025-11-21T02:00:28+00:00
BV1yFCkBvEFV,[OK],OK,这种瓜就是AI取代不了人类的铁证！[OK],这种瓜就是AI取代不了人类的铁证！[OK],31347882,噗嗵噗咚,2025-11-21T01:37:22+00:00
BV1yFCkBvEFV,[星星眼],星星眼,我的掉发还是补气血调理身体恢复好的，需要的话可以分享给你[星星眼][,我的掉发还是补气血调理身体恢复好的，需要的话可以分享给你[星星眼][,3546924841962117,生生不息ssbx0618,2025-11-21T01:31:25+00:00
BV1yFCkBvEFV,[大哭],大哭,圆子，你已经做好了新视频对吧[大哭],圆子，你已经做好了新视频对吧[大哭],58409816,神奇的Anchor,2025-11-20T17:16:47+00:00
BV1yFCkBvEFV,[笑哭],笑哭,突然觉得这些吊人太肤浅了，还不如我身边的大部分人，真是命运弄人啊，其实啥也不是[笑哭],突然觉得这些吊人太肤浅了，还不如我身边的大部分人，真是命运弄人啊，其实啥也不是[笑哭],128135721,麦小麦的麦,2025-11-20T16:51:31+00:00
