bvid,emoji_alt,emoji_name,message,sentence,mid,uname,ctime_iso
BV13X4y1P7z7,[星星眼],星星眼,我们老师在上历史课的时候，专门把这个视频放出来了[脸红]然后一个一个的民族详细讲解[星星眼][星星眼][星星眼],我们老师在上历史课的时候，专门把这个视频放出来了[脸红]然后一个一个的民族详细讲解[星星眼][星星眼][星星眼],3461567173626616,che救驾来迟,2023-07-08T05:28:18+00:00
BV13X4y1P7z7,[大哭],大哭,我理想中的那种可以走出国门 站在世界舞台上的国漫就是视频的这个样子！不同于日漫画风，不是模仿迪士尼的3D，是富有中国特色的别具一格独出心裁的配色.人物线条.还有来自东方的神秘的民族文化...[大哭],我理想中的那种可以走出国门 站在世界舞台上的国漫就是视频的这个样子！不同于日漫画风，不是模仿迪士尼的3D，是富有中国特色的别具一格独出心裁的配色.人物线条.还有来自东方的神秘的民族文化...[大哭],438516812,流泪鼻涕虫,2023-04-07T11:19:01+00:00
BV13X4y1P7z7,[星星眼],星星眼,[星星眼],[星星眼],437054517,Iukoi零榆,2023-03-24T06:25:55+00:00
BV13X4y1P7z7,[妙啊],妙啊,中华民族的来报道了[妙啊][妙啊],中华民族的来报道了[妙啊][妙啊],509701778,祭云泊,2022-07-21T02:10:33+00:00
BV13X4y1P7z7,[大哭],大哭,太棒了，眼泪水自己掉了下来[大哭],太棒了，眼泪水自己掉了下来[大哭],175100056,许舟卫,2022-07-20T13:52:44+00:00
BV13X4y1P7z7,[星星眼],星星眼,美术课上放的。[星星眼][星星眼],美术课上放的。[星星眼][星星眼],499541810,纯天然_豆本豆豆奶,2022-07-19T02:20:51+00:00
BV13X4y1P7z7,[喜极而泣],喜极而泣,重新上传过吗我记得之前看到的汉族服饰在后面一点[喜极而泣]不过顺序前后也没关系,重新上传过吗我记得之前看到的汉族服饰在后面一点[喜极而泣]不过顺序前后也没关系,252600663,-_请输入新昵称,2022-07-13T07:16:11+00:00
BV13X4y1P7z7,[打call],打call,[打call],[打call],1672918093,山药粉笔,2022-07-13T04:45:52+00:00
BV13X4y1P7z7,[支持],支持,太牛了，不敢相信这是本科毕设[支持],太牛了，不敢相信这是本科毕设[支持],5352710,知行RO,2021-07-22T01:57:38+00:00
BV13X4y1P7z7,[打call],打call,做的太棒了啊啊啊[打call][打call][打call],做的太棒了啊啊啊[打call][打call][打call],286161378,KON_226,2021-07-22T01:22:27+00:00
BV13X4y1P7z7,[打call],打call,好厉害！真的好好看 转场也贼好看 爱了爱了[打call][打call][打call],好厉害！真的好好看 转场也贼好看 爱了爱了[打call][打call][打call],91675366,呜呼啦呼小仙女儿,2021-07-22T01:05:37+00:00
BV13X4y1P7z7,[吃瓜],吃瓜,美院也分系啊[吃瓜][吃瓜],美院也分系啊[吃瓜][吃瓜],1744674831,由今朝,2021-07-22T05:16:29+00:00
BV13X4y1P7z7,[辣眼睛],辣眼睛,为啥只有女的没有男的？[辣眼睛],为啥只有女的没有男的？[辣眼睛],263244467,磊比三式改,2021-07-21T15:39:16+00:00
BV13X4y1P7z7,[笑哭],笑哭,里面出现了小孩子，应该有男娃[笑哭],里面出现了小孩子，应该有男娃[笑哭],294376914,穵空魂,2021-07-22T04:15:22+00:00
