"emoji","codepoints","name","img_url","detail_url","kind","description","image_path"
"🙂","U+1F642","[微笑]","https://www.emojiall.com/images/60/douyin/1f642.png","https://www.emojiall.com/en/emoji/%F0%9F%99%82","mapped","slightly smiling face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f642png.png"
"😊","U+1F60A","[害羞]","https://www.emojiall.com/images/60/douyin/1f60a.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8A","mapped","smiling face with smiling eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f60apng.png"
"🙌","U+1F64C","[击掌]","https://www.emojiall.com/images/60/douyin/1f64c.png","https://www.emojiall.com/en/emoji/%F0%9F%99%8C","mapped","raising hands","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f64cpng.png"
"👆","U+1F446","[左上]","https://www.emojiall.com/images/60/douyin/1f446.png","https://www.emojiall.com/en/emoji/%F0%9F%91%86","mapped","backhand index pointing up","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f446png.png"
"🤝","U+1F91D","[握手]","https://www.emojiall.com/images/60/douyin/1f91d.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%9D","mapped","handshake","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f91dpng.png"
"🔞","U+1F51E","[18禁]","https://www.emojiall.com/images/60/douyin/1f51e.png","https://www.emojiall.com/en/emoji/%F0%9F%94%9E","mapped","no one under eighteen","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f51epng.png"
"🔪","U+1F52A","[菜刀]","https://www.emojiall.com/images/60/douyin/1f52a.png","https://www.emojiall.com/en/emoji/%F0%9F%94%AA","mapped","kitchen knife","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f52apng.png"
"❤","U+2764","[爱心]","https://www.emojiall.com/images/60/douyin/2764.png","https://www.emojiall.com/en/emoji/%E2%9D%A4","mapped","red heart","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\2764png.png"
"💔","U+1F494","[心碎]","https://www.emojiall.com/images/60/douyin/1f494.png","https://www.emojiall.com/en/emoji/%F0%9F%92%94","mapped","broken heart","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f494png.png"
"💩","U+1F4A9","[便便]","https://www.emojiall.com/images/60/douyin/1f4a9.png","https://www.emojiall.com/en/emoji/%F0%9F%92%A9","mapped","pile of poo","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f4a9png.png"
"😲","U+1F632","[惊讶]","https://www.emojiall.com/images/60/douyin/1f632.png","https://www.emojiall.com/en/emoji/%F0%9F%98%B2","mapped","astonished face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f632png.png"
"😛","U+1F61B","[调皮]","https://www.emojiall.com/images/60/douyin/1f61b.png","https://www.emojiall.com/en/emoji/%F0%9F%98%9B","mapped","face with tongue","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f61bpng.png"
"🎁","U+1F381","[礼物]","https://www.emojiall.com/images/60/douyin/1f381.png","https://www.emojiall.com/en/emoji/%F0%9F%8E%81","mapped","wrapped gift","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f381png.png"
