"emoji","codepoints","name","img_url","detail_url","kind","description","image_path"
"😘","U+1F618","[爱你]","https://www.emojiall.com/images/60/weibo/1f618.png","https://www.emojiall.com/en/emoji/%F0%9F%98%98","mapped","face blowing a kiss","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f618png.png"
"👋","U+1F44B","[拜拜]","https://www.emojiall.com/images/60/weibo/1f44b.png","https://www.emojiall.com/en/emoji/%F0%9F%91%8B","mapped","waving hand","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f44bpng.png"
"🤗","U+1F917","[抱抱]","https://www.emojiall.com/images/60/weibo/1f917.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%97","mapped","smiling face with open hands","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f917png.png"
"😥","U+1F625","[悲伤]","https://www.emojiall.com/images/60/weibo/1f625.png","https://www.emojiall.com/en/emoji/%F0%9F%98%A5","mapped","sad but relieved face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f625png.png"
"🧐","U+1F9D0","[并不简单]","https://www.emojiall.com/images/60/weibo/1f9d0.png","https://www.emojiall.com/en/emoji/%F0%9F%A7%90","mapped","face with monocle","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f9d0png.png"
"🤐","U+1F910","[闭嘴]","https://www.emojiall.com/images/60/weibo/1f910.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%90","mapped","zipper-mouth face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f910png.png"
"😋","U+1F60B","[馋嘴]","https://www.emojiall.com/images/60/weibo/1f60b.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8B","mapped","face savoring food","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f60bpng.png"
"🍉","U+1F349","[吃瓜]","https://www.emojiall.com/images/60/weibo/1f349.png","https://www.emojiall.com/en/emoji/%F0%9F%8D%89","mapped","watermelon","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f349png.png"
"😲","U+1F632","[吃惊]","https://www.emojiall.com/images/60/weibo/1f632.png","https://www.emojiall.com/en/emoji/%F0%9F%98%B2","mapped","astonished face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f632png.png"
"🥱","U+1F971","[哈欠]","https://www.emojiall.com/images/60/weibo/1f971.png","https://www.emojiall.com/en/emoji/%F0%9F%A5%B1","mapped","yawning face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f971png.png"
"🤕","U+1F915","[打脸]","https://www.emojiall.com/images/60/weibo/1f915.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%95","mapped","face with head-bandage","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f915png.png"
"🐶","U+1F436","[doge]","https://www.emojiall.com/images/60/weibo/1f436.png","https://www.emojiall.com/en/emoji/%F0%9F%90%B6","mapped","dog face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f436png.png"
"🤨","U+1F928","[费解]","https://www.emojiall.com/images/60/weibo/1f928.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%A8","mapped","face with raised eyebrow","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f928png.png"
"🧼","U+1F9FC","[肥皂]","https://www.emojiall.com/images/60/weibo/1f9fc.png","https://www.emojiall.com/en/emoji/%F0%9F%A7%BC","mapped","soap","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f9fcpng.png"
"😷","U+1F637","[感冒]","https://www.emojiall.com/images/60/weibo/1f637.png","https://www.emojiall.com/en/emoji/%F0%9F%98%B7","mapped","face with medical mask","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f637png.png"
"🧎","U+1F9CE","[跪了]","https://www.emojiall.com/images/60/weibo/1f9ce.png","https://www.emojiall.com/en/emoji/%F0%9F%A7%8E","mapped","person kneeling","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f9cepng.png"
"👏","U+1F44F","[鼓掌]","https://www.emojiall.com/images/60/weibo/1f44f.png","https://www.emojiall.com/en/emoji/%F0%9F%91%8F","mapped","clapping hands","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f44fpng.png"
"😃","U+1F603","[哈哈]","https://www.emojiall.com/images/60/weibo/1f603.png","https://www.emojiall.com/en/emoji/%F0%9F%98%83","mapped","grinning face with big eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f603png.png"
"😊","U+1F60A","[害羞]","https://www.emojiall.com/images/60/weibo/1f60a.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8A","mapped","smiling face with smiling eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f60a-newpng.png"
"😓","U+1F613","[汗]","https://www.emojiall.com/images/60/weibo/1f613.png","https://www.emojiall.com/en/emoji/%F0%9F%98%93","mapped","downcast face with sweat","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f613png.png"
"🙂","U+1F642","[呵呵]","https://www.emojiall.com/images/60/weibo/1f642.png","https://www.emojiall.com/en/emoji/%F0%9F%99%82","mapped","slightly smiling face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f642png.png"
"😅","U+1F605","[黑线]","https://www.emojiall.com/images/60/weibo/1f605.png","https://www.emojiall.com/en/emoji/%F0%9F%98%85","mapped","grinning face with sweat","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f605png.png"
"😒","U+1F612","[哼]","https://www.emojiall.com/images/60/weibo/1f612.png","https://www.emojiall.com/en/emoji/%F0%9F%98%92","mapped","unamused face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f612png.png"
"😬","U+1F62C","[坏笑]","https://www.emojiall.com/images/60/weibo/1f62c.png","https://www.emojiall.com/en/emoji/%F0%9F%98%AC","mapped","grimacing face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f62cpng.png"
"😍","U+1F60D","[花心]","https://www.emojiall.com/images/60/weibo/1f60d.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8D","mapped","smiling face with heart-eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f60dpng.png"
"😜","U+1F61C","[挤眼]","https://www.emojiall.com/images/60/weibo/1f61c.png","https://www.emojiall.com/en/emoji/%F0%9F%98%9C","mapped","winking face with tongue","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f61cpng.png"
"😊","U+1F60A","[可爱]","https://www.emojiall.com/images/60/weibo/1f60a-new.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8A","mapped","smiling face with smiling eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f60a-newpng.png"
"🥤","U+1F964","[可乐]","https://www.emojiall.com/images/60/weibo/1f964.png","https://www.emojiall.com/en/emoji/%F0%9F%A5%A4","mapped","cup with straw","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f964png.png"
"🥺","U+1F97A","[可怜]","https://www.emojiall.com/images/60/weibo/1f97a.png","https://www.emojiall.com/en/emoji/%F0%9F%A5%BA","mapped","pleading face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f97apng.png"
"😎","U+1F60E","[酷]","https://www.emojiall.com/images/60/weibo/1f60e.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8E","mapped","smiling face with sunglasses","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f60epng.png"
"💀","U+1F480","[骷髅]","https://www.emojiall.com/images/60/weibo/1f480.png","https://www.emojiall.com/en/emoji/%F0%9F%92%80","mapped","skull","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f480png.png"
"😔","U+1F614","[困]","https://www.emojiall.com/images/60/weibo/1f614.png","https://www.emojiall.com/en/emoji/%F0%9F%98%94","mapped","pensive face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f614-newpng.png"
"🙄","U+1F644","[白眼]","https://www.emojiall.com/images/60/weibo/1f644.png","https://www.emojiall.com/en/emoji/%F0%9F%99%84","mapped","face with rolling eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f644png.png"
